2025-03-25 오후 7:08:48,BaseBall,1,1
2025-03-25 오후 7:08:50,Sponge ball,1,2
2025-03-25 오후 7:08:51,Sponge ball,2,3
2025-03-25 오후 7:08:53,bouncy ball,1,4
2025-03-25 오후 7:08:56,Steal ball,1,5
2025-03-25 오후 7:08:59,Fur ball,1,6
2025-03-25 오후 7:09:02,bouncy ball,2,7
2025-03-25 오후 7:09:04,BaseBall,2,8
2025-03-25 오후 7:09:08,Sponge ball,3,9
2025-03-25 오후 7:09:11,Fur ball,2,10
2025-03-25 오후 7:09:19,Fur ball,3,11
2025-03-25 오후 7:09:21,Sponge ball,4,12
2025-03-25 오후 7:09:22,Fur ball,4,13
2025-03-25 오후 7:09:24,BaseBall,3,14
2025-03-25 오후 7:09:25,bouncy ball,3,15
2025-03-25 오후 7:09:27,bouncy ball,4,16
2025-03-25 오후 7:09:29,Steal ball,2,17
2025-03-25 오후 7:09:29,Steal ball,3,18
2025-03-25 오후 7:09:36,Sponge ball,1,1
2025-03-25 오후 7:09:38,Sponge ball,2,2
2025-03-25 오후 7:09:40,Steal ball,1,3
2025-03-25 오후 7:09:42,bouncy ball,1,4
2025-03-25 오후 7:09:43,bouncy ball,2,5
2025-03-25 오후 7:09:44,bouncy ball,3,6
2025-03-25 오후 7:09:47,Steal ball,2,7
2025-03-25 오후 7:09:48,Steal ball,3,8
2025-03-25 오후 7:09:48,Steal ball,4,9
2025-03-25 오후 7:09:48,Steal ball,5,10
2025-03-25 오후 7:09:49,Steal ball,6,11
2025-03-25 오후 7:09:50,Steal ball,7,12
2025-03-25 오후 7:09:50,Steal ball,8,13
2025-03-25 오후 7:09:52,Steal ball,9,14
2025-03-25 오후 7:09:56,bouncy ball,4,15
2025-03-25 오후 7:09:57,BaseBall,1,16
2025-03-25 오후 7:10:00,BaseBall,2,17
2025-03-25 오후 7:10:02,BaseBall,3,18
2025-03-25 오후 7:10:04,Steal ball,10,19
2025-03-25 오후 7:10:12,Sponge ball,3,20
2025-03-25 오후 7:10:13,Fur ball,1,21
2025-03-25 오후 7:10:15,Sponge ball,4,22
2025-03-25 오후 7:10:17,BaseBall,4,23
2025-03-25 오후 7:10:19,BaseBall,5,24
2025-03-25 오후 7:10:20,bouncy ball,5,25
2025-03-25 오후 7:10:20,bouncy ball,6,26
2025-03-25 오후 7:10:22,BaseBall,6,27
2025-03-25 오후 7:10:23,BaseBall,7,28
2025-03-25 오후 7:10:24,bouncy ball,7,29
2025-03-25 오후 7:10:24,bouncy ball,8,30
2025-03-25 오후 7:10:26,BaseBall,8,31
2025-03-25 오후 7:10:27,BaseBall,9,32
2025-03-25 오후 7:10:29,bouncy ball,9,33
2025-03-25 오후 7:10:29,bouncy ball,10,34
2025-03-25 오후 7:10:30,bouncy ball,11,35
2025-03-25 오후 7:10:31,bouncy ball,12,36
2025-03-25 오후 7:10:31,bouncy ball,13,37
2025-03-25 오후 7:10:33,BaseBall,10,38
2025-03-25 오후 7:10:33,BaseBall,11,39
2025-03-25 오후 7:10:36,bouncy ball,14,40
2025-03-25 오후 7:10:49,50,1,1
2025-03-25 오후 7:10:51,10,1,2
2025-03-25 오후 7:10:53,100,1,3
2025-03-25 오후 7:10:56,30,1,4
2025-03-25 오후 7:10:58,0,1,5
2025-03-25 오후 7:11:00,0,2,6
2025-03-25 오후 7:11:06,100,2,7
2025-03-25 오후 7:11:08,10,2,8
2025-03-25 오후 7:11:09,50,2,9
2025-03-25 오후 7:11:11,50,3,10
2025-03-25 오후 7:11:13,50,4,11
2025-03-25 오후 7:11:14,50,5,12
2025-03-25 오후 7:11:16,100,3,13
2025-03-25 오후 7:11:21,100,4,14
2025-03-25 오후 7:11:23,10,3,15
2025-03-25 오후 7:11:23,10,4,16
2025-03-25 오후 7:11:24,10,5,17
2025-03-25 오후 7:11:26,10,6,18
2025-03-25 오후 7:11:28,100,5,19
2025-03-25 오후 7:11:28,100,6,20
2025-03-25 오후 7:11:29,50,6,21
2025-03-25 오후 7:11:30,50,7,22
2025-03-25 오후 7:11:32,100,7,23
2025-03-25 오후 7:11:32,100,8,24
2025-03-25 오후 7:11:34,10,7,25
2025-03-25 오후 7:11:34,10,8,26
2025-03-25 오후 7:11:50,bouncy ball,1,1
2025-03-25 오후 7:11:50,bouncy ball,2,2
2025-03-25 오후 7:11:52,bouncy ball,3,3
2025-03-25 오후 7:11:54,Steal ball,1,4
2025-03-25 오후 7:11:56,Steal ball,2,5
2025-03-25 오후 7:11:57,Sponge ball,1,6
2025-03-25 오후 7:11:58,Sponge ball,2,7
2025-03-25 오후 7:11:59,Sponge ball,3,8
2025-03-25 오후 7:12:01,Sponge ball,4,9
2025-03-25 오후 7:12:03,BaseBall,1,10
2025-03-25 오후 7:12:06,Fur ball,1,11
2025-03-25 오후 7:12:09,Steal ball,3,12
2025-03-25 오후 7:12:13,Sponge ball,5,13
2025-03-25 오후 7:12:16,Sponge ball,6,14
2025-03-25 오후 7:12:17,Sponge ball,7,15
2025-03-25 오후 7:12:19,bouncy ball,4,16
2025-03-25 오후 7:12:21,BaseBall,2,17
2025-03-25 오후 7:12:24,Steal ball,4,18
2025-03-25 오후 7:12:26,Steal ball,5,19
2025-03-25 오후 7:12:30,BaseBall,3,20
2025-03-25 오후 7:12:35,BaseBall,4,21
2025-03-25 오후 7:12:38,bouncy ball,5,22
2025-03-25 오후 7:12:38,bouncy ball,6,23
2025-03-25 오후 7:12:40,Sponge ball,8,24
2025-03-25 오후 7:12:40,Sponge ball,9,25
2025-03-25 오후 7:12:45,Sponge ball,10,26
2025-03-25 오후 7:12:49,Steal ball,6,27
2025-03-25 오후 7:12:55,BaseBall,5,28
2025-03-25 오후 7:12:57,Sponge ball,11,29
2025-03-25 오후 7:13:08,bouncy ball,7,30
2025-03-25 오후 7:13:17,Steal ball,7,31
2025-03-25 오후 7:13:17,Steal ball,8,32
2025-03-25 오후 7:13:19,bouncy ball,8,33
2025-03-25 오후 7:13:22,Sponge ball,12,34
2025-03-25 오후 7:13:22,Sponge ball,13,35
2025-03-25 오후 7:13:25,BaseBall,6,36
2025-03-25 오후 7:13:26,BaseBall,7,37
2025-03-25 오후 7:13:27,BaseBall,8,38
2025-03-25 오후 7:13:29,bouncy ball,9,39
2025-03-25 오후 7:13:30,bouncy ball,10,40
2025-03-25 오후 7:13:33,Steal ball,9,41
2025-03-25 오후 7:13:33,Steal ball,10,42
2025-03-25 오후 7:13:36,Steal ball,11,43
2025-03-25 오후 7:13:37,bouncy ball,11,44
