2025-04-16 오후 4:09:55,Steal ball,1,1
2025-04-16 오후 4:09:58,Steal ball,2,2
2025-04-16 오후 4:09:59,Steal ball,3,3
2025-04-16 오후 4:10:01,Steal ball,4,4
2025-04-16 오후 4:10:03,Sponge ball,1,5
2025-04-16 오후 4:10:05,Sponge ball,2,6
2025-04-16 오후 4:10:07,Sponge ball,3,7
2025-04-16 오후 4:10:09,bouncy ball,1,8
2025-04-16 오후 4:10:10,bouncy ball,2,9
2025-04-16 오후 4:10:13,BaseBall,1,10
2025-04-16 오후 4:10:15,BaseBall,2,11
2025-04-16 오후 4:10:16,BaseBall,3,12
2025-04-16 오후 4:10:18,BaseBall,4,13
2025-04-16 오후 4:10:20,BaseBall,5,14
2025-04-16 오후 4:10:24,BaseBall,6,15
2025-04-16 오후 4:10:25,BaseBall,7,16
2025-04-16 오후 4:10:26,BaseBall,8,17
2025-04-16 오후 4:10:28,BaseBall,9,18
2025-04-16 오후 4:10:30,bouncy ball,3,19
2025-04-16 오후 4:10:32,bouncy ball,4,20
2025-04-16 오후 4:10:33,bouncy ball,5,21
2025-04-16 오후 4:10:34,bouncy ball,6,22
2025-04-16 오후 4:10:37,bouncy ball,7,23
2025-04-16 오후 4:10:39,bouncy ball,8,24
2025-04-16 오후 4:10:41,bouncy ball,9,25
2025-04-16 오후 4:10:47,Fur ball,1,26
2025-04-16 오후 4:10:52,Sponge ball,4,27
2025-04-16 오후 4:10:56,Sponge ball,5,28
2025-04-16 오후 4:10:58,bouncy ball,10,29
2025-04-16 오후 4:10:58,bouncy ball,11,30
2025-04-16 오후 4:11:01,bouncy ball,12,31
2025-04-16 오후 4:11:02,bouncy ball,13,32
2025-04-16 오후 4:11:05,BaseBall,10,33
2025-04-16 오후 4:11:07,Sponge ball,6,34
2025-04-16 오후 4:11:09,bouncy ball,14,35
2025-04-16 오후 4:11:12,Steal ball,5,36
2025-04-16 오후 4:11:12,Steal ball,6,37
2025-04-16 오후 4:11:13,Steal ball,7,38
