2025-04-12 오후 4:44:38,BaseBall,1,1
2025-04-12 오후 4:44:42,Sponge ball,1,2
2025-04-12 오후 4:44:45,bouncy ball,1,3
2025-04-12 오후 4:44:48,Fur ball,1,4
2025-04-12 오후 4:44:50,Steal ball,1,5
2025-04-12 오후 4:44:50,Steal ball,2,6
2025-04-12 오후 4:44:53,Fur ball,2,7
2025-04-12 오후 4:44:59,Sponge ball,2,8
2025-04-12 오후 4:45:05,Sponge ball,3,9
2025-04-12 오후 4:45:08,bouncy ball,2,10
2025-04-12 오후 4:45:12,Steal ball,3,11
2025-04-12 오후 4:45:13,bouncy ball,3,12
2025-04-12 오후 4:45:18,Sponge ball,4,13
2025-04-12 오후 4:45:24,BaseBall,2,14
2025-04-12 오후 4:45:27,Steal ball,4,15
2025-04-12 오후 4:45:30,BaseBall,3,16
2025-04-12 오후 4:45:34,Steal ball,5,17
2025-04-12 오후 4:45:39,BaseBall,4,18
2025-04-12 오후 4:45:50,BaseBall,1,1
2025-04-12 오후 4:45:53,bouncy ball,1,2
2025-04-12 오후 4:45:56,Sponge ball,1,3
2025-04-12 오후 4:45:58,Fur ball,1,4
2025-04-12 오후 4:46:03,Steal ball,1,5
2025-04-12 오후 4:46:06,Fur ball,2,6
2025-04-12 오후 4:46:11,Sponge ball,2,7
2025-04-12 오후 4:46:15,Sponge ball,3,8
2025-04-12 오후 4:46:20,bouncy ball,2,9
2025-04-12 오후 4:46:22,Sponge ball,4,10
2025-04-12 오후 4:46:26,bouncy ball,3,11
2025-04-12 오후 4:46:27,bouncy ball,4,12
2025-04-12 오후 4:46:33,BaseBall,2,13
2025-04-12 오후 4:46:39,Steal ball,2,14
2025-04-12 오후 4:46:42,BaseBall,3,15
2025-04-12 오후 4:46:45,Steal ball,3,16
2025-04-12 오후 4:46:57,30,1,1
2025-04-12 오후 4:47:00,10,1,2
2025-04-12 오후 4:47:02,100,1,3
2025-04-12 오후 4:47:05,0,1,4
2025-04-12 오후 4:47:07,0,2,5
2025-04-12 오후 4:47:09,50,1,6
2025-04-12 오후 4:47:09,50,2,7
2025-04-12 오후 4:47:09,50,3,8
2025-04-12 오후 4:47:10,50,4,9
2025-04-12 오후 4:47:13,0,3,10
2025-04-12 오후 4:47:18,10,2,11
2025-04-12 오후 4:47:20,10,3,12
2025-04-12 오후 4:47:20,10,4,13
2025-04-12 오후 4:47:21,10,5,14
2025-04-12 오후 4:47:21,10,6,15
2025-04-12 오후 4:47:21,10,7,16
2025-04-12 오후 4:47:23,10,8,17
2025-04-12 오후 4:47:23,10,9,18
2025-04-12 오후 4:47:25,30,2,19
2025-04-12 오후 4:47:30,10,10,20
2025-04-12 오후 4:47:34,100,2,21
2025-04-12 오후 4:47:38,50,5,22
2025-04-12 오후 4:47:41,100,3,23
2025-04-12 오후 4:47:41,100,4,24
2025-04-12 오후 4:47:41,100,5,25
2025-04-12 오후 4:47:45,30,3,26
2025-04-12 오후 4:47:47,30,4,27
2025-04-12 오후 4:47:54,30,5,28
2025-04-12 오후 4:47:57,100,6,29
2025-04-12 오후 4:47:59,30,6,30
2025-04-12 오후 4:48:03,100,7,31
2025-04-12 오후 4:48:08,10,11,32
2025-04-12 오후 4:48:09,10,12,33
2025-04-12 오후 4:48:13,50,6,34
2025-04-12 오후 4:48:15,10,13,35
2025-04-12 오후 4:48:17,50,7,36
2025-04-12 오후 4:48:20,10,14,37
2025-04-12 오후 4:48:23,50,8,38
2025-04-12 오후 4:48:35,50,1,1
2025-04-12 오후 4:48:38,0,1,2
2025-04-12 오후 4:48:42,30,1,3
2025-04-12 오후 4:48:45,100,1,4
2025-04-12 오후 4:48:54,10,1,5
2025-04-12 오후 4:48:59,0,2,6
2025-04-12 오후 4:49:03,30,2,7
