2025-03-31 오후 2:06:49,Sponge ball,1,1
2025-03-31 오후 2:06:54,bouncy ball,1,2
2025-03-31 오후 2:07:00,Sponge ball,2,3
2025-03-31 오후 2:07:05,Sponge ball,3,4
2025-03-31 오후 2:07:09,Fur ball,1,5
2025-03-31 오후 2:07:14,Steal ball,1,6
2025-03-31 오후 2:07:19,Sponge ball,4,7
2025-03-31 오후 2:07:23,BaseBall,1,8
2025-03-31 오후 2:07:31,bouncy ball,2,9
2025-03-31 오후 2:07:43,Fur ball,1,1
2025-03-31 오후 2:07:47,Sponge ball,1,2
2025-03-31 오후 2:07:51,bouncy ball,1,3
2025-03-31 오후 2:07:56,Steal ball,1,4
2025-03-31 오후 2:07:59,Steal ball,2,5
2025-03-31 오후 2:08:04,BaseBall,1,6
2025-03-31 오후 2:08:08,Steal ball,3,7
2025-03-31 오후 2:08:12,Steal ball,4,8
2025-03-31 오후 2:08:16,Sponge ball,2,9
2025-03-31 오후 2:08:22,Steal ball,5,10
2025-03-31 오후 2:08:25,bouncy ball,2,11
2025-03-31 오후 2:08:29,Sponge ball,3,12
2025-03-31 오후 2:08:38,Fur ball,1,1
2025-03-31 오후 2:08:40,Fur ball,2,2
2025-03-31 오후 2:08:43,Fur ball,3,3
2025-03-31 오후 2:08:46,Sponge ball,1,4
2025-03-31 오후 2:08:51,BaseBall,1,5
2025-03-31 오후 2:08:54,BaseBall,2,6
2025-03-31 오후 2:08:58,Steal ball,1,7
2025-03-31 오후 2:09:01,Steal ball,2,8
2025-03-31 오후 2:09:05,bouncy ball,1,9
2025-03-31 오후 2:09:08,bouncy ball,2,10
2025-03-31 오후 2:09:12,bouncy ball,3,11
2025-03-31 오후 2:09:14,BaseBall,3,12
2025-03-31 오후 2:09:17,bouncy ball,4,13
2025-03-31 오후 2:09:23,Sponge ball,2,14
2025-03-31 오후 2:09:33,30,1,1
2025-03-31 오후 2:09:37,10,1,2
2025-03-31 오후 2:09:40,100,1,3
2025-03-31 오후 2:09:43,50,1,4
2025-03-31 오후 2:09:44,50,2,5
2025-03-31 오후 2:09:47,50,3,6
2025-03-31 오후 2:09:49,50,4,7
2025-03-31 오후 2:09:53,0,1,8
2025-03-31 오후 2:09:57,30,2,9
2025-03-31 오후 2:10:04,10,2,10
2025-03-31 오후 2:10:07,50,5,11
2025-03-31 오후 2:10:15,100,2,12
2025-03-31 오후 2:10:18,50,6,13
2025-03-31 오후 2:10:29,Sponge ball,1,1
2025-03-31 오후 2:10:34,Fur ball,1,2
2025-03-31 오후 2:10:36,Fur ball,2,3
2025-03-31 오후 2:10:38,Fur ball,3,4
2025-03-31 오후 2:10:41,BaseBall,1,5
2025-03-31 오후 2:10:44,bouncy ball,1,6
2025-03-31 오후 2:10:47,Steal ball,1,7
2025-03-31 오후 2:10:52,bouncy ball,2,8
2025-03-31 오후 2:10:55,Sponge ball,2,9
2025-03-31 오후 2:10:58,BaseBall,2,10
2025-03-31 오후 2:10:59,BaseBall,3,11
2025-03-31 오후 2:11:10,10,1,1
2025-03-31 오후 2:11:13,50,1,2
2025-03-31 오후 2:11:16,100,1,3
2025-03-31 오후 2:11:20,30,1,4
2025-03-31 오후 2:11:24,0,1,5
2025-03-31 오후 2:11:27,10,2,6
2025-03-31 오후 2:11:30,30,2,7
2025-03-31 오후 2:11:35,100,2,8
2025-03-31 오후 2:11:40,50,2,9
2025-03-31 오후 2:11:43,100,3,10
2025-03-31 오후 2:11:51,100,1,1
2025-03-31 오후 2:11:56,0,1,2
2025-03-31 오후 2:11:59,50,1,3
2025-03-31 오후 2:12:02,50,2,4
2025-03-31 오후 2:12:04,30,1,5
2025-03-31 오후 2:12:08,10,1,6
2025-03-31 오후 2:12:11,30,2,7
2025-03-31 오후 2:12:14,100,2,8
2025-03-31 오후 2:12:18,50,3,9
2025-03-31 오후 2:12:23,100,3,10
2025-03-31 오후 2:12:27,50,4,11
2025-03-31 오후 2:12:29,100,4,12
2025-03-31 오후 2:12:37,0,1,1
2025-03-31 오후 2:12:40,10,1,2
2025-03-31 오후 2:12:44,100,1,3
2025-03-31 오후 2:12:49,30,1,4
2025-03-31 오후 2:12:53,50,1,5
2025-03-31 오후 2:12:59,50,2,6
2025-03-31 오후 2:13:01,100,2,7
2025-03-31 오후 2:13:11,0,1,1
2025-03-31 오후 2:13:15,10,1,2
2025-03-31 오후 2:13:18,100,1,3
2025-03-31 오후 2:13:21,50,1,4
2025-03-31 오후 2:13:24,30,1,5
2025-03-31 오후 2:13:25,30,2,6
2025-03-31 오후 2:13:26,30,3,7
2025-03-31 오후 2:13:31,50,2,8
2025-03-31 오후 2:13:32,50,3,9
2025-03-31 오후 2:13:36,100,2,10
2025-03-31 오후 2:13:36,100,3,11
2025-03-31 오후 2:13:41,50,4,12
2025-03-31 오후 2:13:50,Fur ball,1,1
2025-03-31 오후 2:13:53,Sponge ball,1,2
2025-03-31 오후 2:13:56,BaseBall,1,3
2025-03-31 오후 2:13:59,BaseBall,2,4
2025-03-31 오후 2:14:02,bouncy ball,1,5
2025-03-31 오후 2:14:06,Steal ball,1,6
2025-03-31 오후 2:14:08,bouncy ball,2,7
