2025-04-17 오전 11:07:54,Sponge ball,1,1
2025-04-17 오전 11:07:56,Steal ball,1,2
2025-04-17 오전 11:08:00,BaseBall,1,3
2025-04-17 오전 11:08:02,Fur ball,1,4
2025-04-17 오전 11:08:06,bouncy ball,1,5
2025-04-17 오전 11:08:08,bouncy ball,2,6
2025-04-17 오전 11:08:10,Sponge ball,2,7
2025-04-17 오전 11:08:18,bouncy ball,3,8
2025-04-17 오전 11:08:22,BaseBall,2,9
2025-04-17 오전 11:08:26,BaseBall,3,10
2025-04-17 오전 11:08:27,bouncy ball,4,11
2025-04-17 오전 11:08:31,BaseBall,4,12
2025-04-17 오전 11:08:33,bouncy ball,5,13
2025-04-17 오전 11:08:36,BaseBall,5,14
2025-04-17 오전 11:08:38,bouncy ball,6,15
2025-04-17 오전 11:08:45,BaseBall,6,16
2025-04-17 오전 11:08:51,bouncy ball,7,17
2025-04-17 오전 11:08:53,bouncy ball,8,18
2025-04-17 오전 11:08:56,BaseBall,7,19
2025-04-17 오전 11:08:59,bouncy ball,9,20
2025-04-17 오전 11:09:16,10,1,1
2025-04-17 오전 11:09:19,50,1,2
2025-04-17 오전 11:09:21,0,1,3
2025-04-17 오전 11:09:23,100,1,4
2025-04-17 오전 11:09:26,30,1,5
2025-04-17 오전 11:09:29,30,2,6
2025-04-17 오전 11:09:30,50,2,7
2025-04-17 오전 11:09:32,100,2,8
2025-04-17 오전 11:09:33,100,3,9
2025-04-17 오전 11:09:35,30,3,10
2025-04-17 오전 11:09:36,50,3,11
2025-04-17 오전 11:09:45,30,1,1
2025-04-17 오전 11:09:48,10,1,2
2025-04-17 오전 11:09:48,10,2,3
2025-04-17 오전 11:09:51,30,2,4
2025-04-17 오전 11:09:53,10,3,5
2025-04-17 오전 11:09:54,10,4,6
2025-04-17 오전 11:09:56,50,1,7
2025-04-17 오전 11:09:57,50,2,8
2025-04-17 오전 11:10:02,100,1,9
2025-04-17 오전 11:10:04,50,3,10
2025-04-17 오전 11:10:07,100,2,11
2025-04-17 오전 11:10:11,50,4,12
2025-04-17 오전 11:10:15,100,3,13
2025-04-17 오전 11:10:18,50,5,14
2025-04-17 오전 11:10:22,0,1,15
2025-04-17 오전 11:10:24,50,6,16
2025-04-17 오전 11:10:25,100,4,17
2025-04-17 오전 11:10:42,Fur ball,1,1
2025-04-17 오전 11:10:44,Fur ball,2,2
2025-04-17 오전 11:10:47,Steal ball,1,3
2025-04-17 오전 11:10:49,bouncy ball,1,4
2025-04-17 오전 11:10:55,BaseBall,1,5
2025-04-17 오전 11:10:57,BaseBall,2,6
2025-04-17 오전 11:11:00,Sponge ball,1,7
2025-04-17 오전 11:11:03,Steal ball,2,8
2025-04-17 오전 11:11:05,bouncy ball,2,9
2025-04-17 오전 11:11:08,bouncy ball,3,10
2025-04-17 오전 11:11:09,Steal ball,3,11
2025-04-17 오전 11:11:11,bouncy ball,4,12
2025-04-17 오전 11:11:13,BaseBall,3,13
2025-04-17 오전 11:11:14,BaseBall,4,14
2025-04-17 오전 11:11:17,BaseBall,5,15
2025-04-17 오전 11:11:19,bouncy ball,5,16
2025-04-17 오전 11:11:22,BaseBall,6,17
2025-04-17 오전 11:11:23,BaseBall,7,18
2025-04-17 오전 11:11:39,50,1,1
2025-04-17 오전 11:11:39,50,2,2
2025-04-17 오전 11:11:42,10,1,3
2025-04-17 오전 11:11:44,10,2,4
2025-04-17 오전 11:11:48,30,1,5
2025-04-17 오전 11:11:49,100,1,6
2025-04-17 오전 11:11:52,0,1,7
2025-04-17 오전 11:11:53,0,2,8
2025-04-17 오전 11:11:55,30,2,9
2025-04-17 오전 11:11:56,30,3,10
2025-04-17 오전 11:13:22,30,4,11
2025-04-17 오전 11:13:26,50,3,12
2025-04-17 오전 11:13:29,50,4,13
2025-04-17 오전 11:13:33,30,5,14
2025-04-17 오전 11:13:35,30,6,15
2025-04-17 오전 11:13:37,10,3,16
2025-04-17 오전 11:13:39,100,2,17
2025-04-17 오전 11:13:48,30,1,1
2025-04-17 오전 11:13:49,30,2,2
2025-04-17 오전 11:13:52,0,1,3
2025-04-17 오전 11:13:52,0,2,4
2025-04-17 오전 11:13:54,100,1,5
2025-04-17 오전 11:13:54,100,2,6
2025-04-17 오전 11:13:57,100,3,7
2025-04-17 오전 11:13:59,10,1,8
2025-04-17 오전 11:14:00,10,2,9
2025-04-17 오전 11:14:03,30,3,10
2025-04-17 오전 11:14:06,10,3,11
2025-04-17 오전 11:14:09,50,1,12
2025-04-17 오전 11:14:11,100,4,13
2025-04-17 오전 11:14:13,50,2,14
2025-04-17 오전 11:14:21,BaseBall,1,1
2025-04-17 오전 11:14:24,Fur ball,1,2
2025-04-17 오전 11:14:26,bouncy ball,1,3
2025-04-17 오전 11:14:28,Sponge ball,1,4
2025-04-17 오전 11:14:30,Steal ball,1,5
2025-04-17 오전 11:14:38,Sponge ball,1,1
2025-04-17 오전 11:14:40,Sponge ball,2,2
2025-04-17 오전 11:14:42,Fur ball,1,3
2025-04-17 오전 11:14:45,BaseBall,1,4
2025-04-17 오전 11:14:47,BaseBall,2,5
2025-04-17 오전 11:14:52,bouncy ball,1,6
2025-04-17 오전 11:14:54,bouncy ball,2,7
2025-04-17 오전 11:14:55,Steal ball,1,8
2025-04-17 오전 11:14:57,bouncy ball,3,9
2025-04-17 오전 11:15:04,Sponge ball,1,1
2025-04-17 오전 11:15:07,Sponge ball,2,2
2025-04-17 오전 11:15:08,Sponge ball,3,3
2025-04-17 오전 11:15:09,BaseBall,1,4
2025-04-17 오전 11:15:09,BaseBall,2,5
2025-04-17 오전 11:15:12,bouncy ball,1,6
2025-04-17 오전 11:15:13,bouncy ball,2,7
2025-04-17 오전 11:15:14,Fur ball,1,8
2025-04-17 오전 11:15:17,Steal ball,1,9
2025-04-17 오전 11:15:20,BaseBall,3,10
2025-04-17 오전 11:15:22,Steal ball,2,11
2025-04-17 오전 11:15:25,Steal ball,3,12
2025-04-17 오전 11:15:26,bouncy ball,3,13
2025-04-17 오전 11:15:28,bouncy ball,4,14
2025-04-17 오전 11:15:35,50,1,1
2025-04-17 오전 11:15:36,50,2,2
2025-04-17 오전 11:15:37,50,3,3
2025-04-17 오전 11:15:38,30,1,4
2025-04-17 오전 11:15:40,30,2,5
2025-04-17 오전 11:15:41,10,1,6
2025-04-17 오전 11:15:42,10,2,7
2025-04-17 오전 11:15:43,0,1,8
2025-04-17 오전 11:15:43,0,2,9
2025-04-17 오전 11:15:46,100,1,10
2025-04-17 오전 11:15:46,100,2,11
2025-04-17 오전 11:15:48,100,3,12
2025-04-17 오전 11:15:48,100,4,13
2025-04-17 오전 11:15:49,50,4,14
2025-04-17 오전 11:15:51,50,5,15
2025-04-17 오전 11:15:51,50,6,16
2025-04-17 오전 11:15:54,10,3,17
2025-04-17 오전 11:15:55,10,4,18
2025-04-17 오전 11:15:56,10,5,19
2025-04-17 오전 11:15:58,30,3,20
2025-04-17 오전 11:15:59,30,4,21
2025-04-17 오전 11:16:00,30,5,22
2025-04-17 오전 11:16:03,50,7,23
2025-04-17 오전 11:16:04,100,5,24
2025-04-17 오전 11:16:08,50,8,25
2025-04-17 오전 11:16:08,50,9,26
2025-04-17 오전 11:16:11,30,6,27
2025-04-17 오전 11:16:13,30,7,28
