2025-04-16 오후 7:22:25,Fur ball,1,1
2025-04-16 오후 7:22:29,bouncy ball,1,2
2025-04-16 오후 7:22:36,BaseBall,1,3
2025-04-16 오후 7:22:39,Sponge ball,1,4
2025-04-16 오후 7:22:41,Steal ball,1,5
2025-04-16 오후 7:22:43,Fur ball,2,6
2025-04-16 오후 7:22:45,Steal ball,2,7
2025-04-16 오후 7:22:46,Steal ball,3,8
2025-04-16 오후 7:22:48,Steal ball,4,9
2025-04-16 오후 7:22:50,Sponge ball,2,10
2025-04-16 오후 7:22:52,BaseBall,2,11
2025-04-16 오후 7:22:53,bouncy ball,2,12
2025-04-16 오후 7:22:56,bouncy ball,3,13
2025-04-16 오후 7:22:59,BaseBall,3,14
2025-04-16 오후 7:23:02,Sponge ball,3,15
2025-04-16 오후 7:23:04,bouncy ball,4,16
2025-04-16 오후 7:23:07,Sponge ball,4,17
2025-04-16 오후 7:23:09,BaseBall,4,18
2025-04-16 오후 7:23:18,50,1,1
2025-04-16 오후 7:23:20,30,1,2
2025-04-16 오후 7:23:21,10,1,3
2025-04-16 오후 7:23:23,0,1,4
2025-04-16 오후 7:23:26,100,1,5
2025-04-16 오후 7:23:27,100,2,6
2025-04-16 오후 7:23:29,100,3,7
2025-04-16 오후 7:23:32,50,2,8
2025-04-16 오후 7:23:33,50,3,9
2025-04-16 오후 7:23:35,50,4,10
2025-04-16 오후 7:23:40,10,2,11
2025-04-16 오후 7:23:47,30,2,12
2025-04-16 오후 7:23:48,30,3,13
2025-04-16 오후 7:23:51,30,4,14
2025-04-16 오후 7:23:53,10,3,15
2025-04-16 오후 7:23:57,30,5,16
2025-04-16 오후 7:23:59,30,6,17
2025-04-16 오후 7:24:04,10,4,18
2025-04-16 오후 7:24:07,50,5,19
2025-04-16 오후 7:24:11,50,6,20
2025-04-16 오후 7:24:14,10,5,21
2025-04-16 오후 7:24:15,10,6,22
2025-04-16 오후 7:24:16,10,7,23
2025-04-16 오후 7:24:19,50,7,24
2025-04-16 오후 7:24:22,10,8,25
2025-04-16 오후 7:24:25,30,7,26
2025-04-16 오후 7:24:27,50,8,27
2025-04-16 오후 7:24:30,100,4,28
2025-04-16 오후 7:24:33,100,5,29
2025-04-16 오후 7:24:37,100,6,30
2025-04-16 오후 7:24:40,50,9,31
2025-04-16 오후 7:24:41,10,9,32
2025-04-16 오후 7:24:44,100,7,33
2025-04-16 오후 7:24:47,50,10,34
2025-04-16 오후 7:24:49,50,11,35
2025-04-16 오후 7:24:51,50,12,36
2025-04-16 오후 7:24:54,100,8,37
2025-04-16 오후 7:24:57,0,2,38
2025-04-16 오후 7:25:05,Fur ball,1,1
2025-04-16 오후 7:25:08,bouncy ball,1,2
2025-04-16 오후 7:25:10,BaseBall,1,3
2025-04-16 오후 7:25:17,Sponge ball,1,4
2025-04-16 오후 7:25:18,Sponge ball,2,5
2025-04-16 오후 7:25:22,Steal ball,1,6
2025-04-16 오후 7:25:24,Steal ball,2,7
2025-04-16 오후 7:25:27,bouncy ball,2,8
2025-04-16 오후 7:25:30,bouncy ball,3,9
2025-04-16 오후 7:25:32,Sponge ball,3,10
2025-04-16 오후 7:25:32,Sponge ball,4,11
2025-04-16 오후 7:25:33,Sponge ball,5,12
2025-04-16 오후 7:25:36,Fur ball,2,13
2025-04-16 오후 7:25:37,Fur ball,3,14
2025-04-16 오후 7:25:39,Fur ball,4,15
2025-04-16 오후 7:25:41,Sponge ball,6,16
2025-04-16 오후 7:25:43,Fur ball,5,17
2025-04-16 오후 7:25:46,BaseBall,2,18
2025-04-16 오후 7:25:48,Steal ball,3,19
2025-04-16 오후 7:25:50,bouncy ball,4,20
2025-04-16 오후 7:25:51,bouncy ball,5,21
2025-04-16 오후 7:25:55,Steal ball,4,22
2025-04-16 오후 7:25:57,bouncy ball,6,23
2025-04-16 오후 7:26:05,50,1,1
2025-04-16 오후 7:26:06,10,1,2
2025-04-16 오후 7:26:12,10,2,3
2025-04-16 오후 7:26:14,0,1,4
2025-04-16 오후 7:26:15,0,2,5
2025-04-16 오후 7:26:19,30,1,6
2025-04-16 오후 7:26:23,100,1,7
2025-04-16 오후 7:26:25,100,2,8
2025-04-16 오후 7:26:28,0,3,9
2025-04-16 오후 7:26:31,10,3,10
2025-04-16 오후 7:26:34,10,4,11
2025-04-16 오후 7:26:37,30,2,12
2025-04-16 오후 7:26:40,30,3,13
2025-04-16 오후 7:26:42,30,4,14
2025-04-16 오후 7:26:46,10,5,15
2025-04-16 오후 7:26:48,10,6,16
2025-04-16 오후 7:26:51,30,5,17
2025-04-16 오후 7:26:54,10,7,18
2025-04-16 오후 7:26:58,30,6,19
2025-04-16 오후 7:27:00,0,4,20
2025-04-16 오후 7:27:03,0,5,21
2025-04-16 오후 7:27:07,10,8,22
2025-04-16 오후 7:27:09,10,9,23
2025-04-16 오후 7:27:10,10,10,24
2025-04-16 오후 7:27:11,10,11,25
2025-04-16 오후 7:27:13,0,6,26
2025-04-16 오후 7:27:15,0,7,27
2025-04-16 오후 7:27:16,0,8,28
2025-04-16 오후 7:27:18,0,9,29
2025-04-16 오후 7:27:22,30,7,30
2025-04-16 오후 7:27:24,10,12,31
2025-04-16 오후 7:27:27,100,3,32
2025-04-16 오후 7:27:29,50,2,33
2025-04-16 오후 7:27:31,100,4,34
2025-04-16 오후 7:27:44,30,1,1
2025-04-16 오후 7:27:46,50,1,2
2025-04-16 오후 7:27:48,30,2,3
2025-04-16 오후 7:27:50,100,1,4
2025-04-16 오후 7:27:51,100,2,5
2025-04-16 오후 7:27:53,0,1,6
2025-04-16 오후 7:27:55,0,2,7
2025-04-16 오후 7:27:57,10,1,8
2025-04-16 오후 7:28:00,0,3,9
2025-04-16 오후 7:28:02,100,3,10
2025-04-16 오후 7:28:03,100,4,11
2025-04-16 오후 7:28:05,50,2,12
2025-04-16 오후 7:28:07,30,3,13
2025-04-16 오후 7:28:07,30,4,14
2025-04-16 오후 7:28:09,50,3,15
2025-04-16 오후 7:28:11,100,5,16
2025-04-16 오후 7:28:13,100,6,17
2025-04-16 오후 7:28:21,100,1,1
2025-04-16 오후 7:28:22,100,2,2
2025-04-16 오후 7:28:23,30,1,3
2025-04-16 오후 7:28:24,30,2,4
2025-04-16 오후 7:28:25,30,3,5
2025-04-16 오후 7:28:27,30,4,6
2025-04-16 오후 7:28:28,100,3,7
2025-04-16 오후 7:28:31,10,1,8
2025-04-16 오후 7:28:33,10,2,9
2025-04-16 오후 7:28:35,50,1,10
2025-04-16 오후 7:28:37,50,2,11
2025-04-16 오후 7:28:39,50,3,12
2025-04-16 오후 7:28:40,30,5,13
2025-04-16 오후 7:28:43,100,4,14
2025-04-16 오후 7:28:45,30,6,15
2025-04-16 오후 7:28:48,10,3,16
2025-04-16 오후 7:28:50,0,1,17
2025-04-16 오후 7:28:53,30,7,18
2025-04-16 오후 7:28:56,50,4,19
2025-04-16 오후 7:28:58,100,5,20
2025-04-16 오후 7:29:01,50,5,21
2025-04-16 오후 7:29:03,30,8,22
2025-04-16 오후 7:29:05,50,6,23
2025-04-16 오후 7:29:06,100,6,24
2025-04-16 오후 7:29:07,30,9,25
2025-04-16 오후 7:29:09,50,7,26
2025-04-16 오후 7:29:11,30,10,27
2025-04-16 오후 7:29:13,100,7,28
2025-04-16 오후 7:29:15,30,11,29
2025-04-16 오후 7:29:17,10,4,30
2025-04-16 오후 7:29:19,10,5,31
2025-04-16 오후 7:29:20,0,2,32
2025-04-16 오후 7:29:31,BaseBall,1,1
2025-04-16 오후 7:29:33,Fur ball,1,2
2025-04-16 오후 7:29:34,Fur ball,2,3
2025-04-16 오후 7:29:36,Sponge ball,1,4
2025-04-16 오후 7:29:38,Sponge ball,2,5
2025-04-16 오후 7:29:38,Sponge ball,3,6
2025-04-16 오후 7:29:41,Fur ball,3,7
2025-04-16 오후 7:29:43,Sponge ball,4,8
2025-04-16 오후 7:29:45,bouncy ball,1,9
2025-04-16 오후 7:29:46,Steal ball,1,10
2025-04-16 오후 7:29:47,Steal ball,2,11
2025-04-16 오후 7:29:49,Steal ball,3,12
2025-04-16 오후 7:29:50,BaseBall,2,13
2025-04-16 오후 7:29:55,Steal ball,4,14
2025-04-16 오후 7:29:59,bouncy ball,2,15
2025-04-16 오후 7:30:02,BaseBall,3,16
2025-04-16 오후 7:30:10,Fur ball,1,1
2025-04-16 오후 7:30:11,Fur ball,2,2
2025-04-16 오후 7:30:13,Sponge ball,1,3
2025-04-16 오후 7:30:15,bouncy ball,1,4
2025-04-16 오후 7:30:16,BaseBall,1,5
2025-04-16 오후 7:30:17,Steal ball,1,6
2025-04-16 오후 7:30:21,Fur ball,3,7
2025-04-16 오후 7:30:23,bouncy ball,2,8
2025-04-16 오후 7:30:25,bouncy ball,3,9
2025-04-16 오후 7:30:27,BaseBall,2,10
2025-04-16 오후 7:30:27,BaseBall,3,11
2025-04-16 오후 7:30:28,Steal ball,2,12
2025-04-16 오후 7:30:28,Steal ball,3,13
2025-04-16 오후 7:30:30,Steal ball,4,14
2025-04-16 오후 7:30:31,bouncy ball,4,15
2025-04-16 오후 7:30:32,bouncy ball,5,16
2025-04-16 오후 7:30:32,bouncy ball,6,17
2025-04-16 오후 7:30:33,bouncy ball,7,18
