Zone,ObjectName,Timestamp
0,Sponge ball,2025-05-29 10:33:20
0,Pinky_DP,2025-05-29 10:35:16
0,0,2025-05-29 10:34:55
0,Ring_DP,2025-05-29 10:33:53
1,Steal ball,2025-05-29 10:33:04
1,10,2025-05-29 10:35:11
1,Ring_MP,2025-05-29 10:35:14
1,Ring_DP,2025-05-29 10:35:14
2,BaseBall,2025-05-29 10:33:08
2,30,2025-05-29 10:35:09
3,bouncy ball,2025-05-29 10:33:30
3,50,2025-05-29 10:35:07
3,Ring_MP,2025-05-29 10:35:19
4,Fur ball,2025-05-29 10:32:57
4,100,2025-05-29 10:35:21
4,Ring_PP,2025-05-29 10:35:23
4,Ring_DP,2025-05-29 10:35:23
