2025-04-16 오후 4:37:40,10,1,1
2025-04-16 오후 4:37:43,30,1,2
2025-04-16 오후 4:37:45,30,2,3
2025-04-16 오후 4:37:48,100,1,4
2025-04-16 오후 4:37:49,100,2,5
2025-04-16 오후 4:37:49,100,3,6
2025-04-16 오후 4:37:51,0,1,7
2025-04-16 오후 4:37:55,50,1,8
2025-04-16 오후 4:37:55,50,2,9
2025-04-16 오후 4:37:56,50,3,10
2025-04-16 오후 4:37:57,50,4,11
2025-04-16 오후 4:38:00,10,2,12
2025-04-16 오후 4:38:01,10,3,13
2025-04-16 오후 4:38:03,30,3,14
2025-04-16 오후 4:38:05,30,4,15
2025-04-16 오후 4:38:07,50,5,16
2025-04-16 오후 4:38:09,50,6,17
2025-04-16 오후 4:38:10,30,5,18
2025-04-16 오후 4:38:17,Sponge ball,1,1
2025-04-16 오후 4:38:18,Sponge ball,2,2
2025-04-16 오후 4:38:22,BaseBall,1,3
2025-04-16 오후 4:38:25,bouncy ball,1,4
2025-04-16 오후 4:38:29,bouncy ball,2,5
2025-04-16 오후 4:38:31,Fur ball,1,6
2025-04-16 오후 4:38:33,Steal ball,1,7
2025-04-16 오후 4:38:42,30,1,1
2025-04-16 오후 4:38:44,0,1,2
2025-04-16 오후 4:38:47,100,1,3
2025-04-16 오후 4:38:50,50,1,4
2025-04-16 오후 4:38:52,10,1,5
2025-04-16 오후 4:38:55,50,2,6
2025-04-16 오후 4:38:59,30,2,7
2025-04-16 오후 4:39:04,30,3,8
2025-04-16 오후 4:39:06,10,2,9
2025-04-16 오후 4:39:08,30,4,10
2025-04-16 오후 4:39:10,50,3,11
2025-04-16 오후 4:39:12,30,5,12
2025-04-16 오후 4:39:28,Steal ball,1,1
2025-04-16 오후 4:39:29,Steal ball,2,2
2025-04-16 오후 4:39:30,Steal ball,3,3
2025-04-16 오후 4:39:32,BaseBall,1,4
2025-04-16 오후 4:39:34,BaseBall,2,5
2025-04-16 오후 4:39:34,BaseBall,3,6
2025-04-16 오후 4:39:36,BaseBall,4,7
2025-04-16 오후 4:39:38,bouncy ball,1,8
2025-04-16 오후 4:39:41,Fur ball,1,9
2025-04-16 오후 4:39:43,Fur ball,2,10
2025-04-16 오후 4:39:43,Fur ball,3,11
2025-04-16 오후 4:39:44,Fur ball,4,12
2025-04-16 오후 4:39:46,Sponge ball,1,13
2025-04-16 오후 4:39:46,Sponge ball,2,14
2025-04-16 오후 4:39:52,BaseBall,5,15
2025-04-16 오후 4:39:53,BaseBall,6,16
2025-04-16 오후 4:39:53,BaseBall,7,17
2025-04-16 오후 4:40:01,10,1,1
2025-04-16 오후 4:40:01,10,2,2
2025-04-16 오후 4:40:03,10,3,3
2025-04-16 오후 4:40:04,10,4,4
2025-04-16 오후 4:40:06,0,1,5
2025-04-16 오후 4:40:06,0,2,6
2025-04-16 오후 4:40:09,30,1,7
2025-04-16 오후 4:40:10,30,2,8
2025-04-16 오후 4:40:11,30,3,9
2025-04-16 오후 4:40:12,50,1,10
2025-04-16 오후 4:40:13,50,2,11
2025-04-16 오후 4:40:15,30,4,12
2025-04-16 오후 4:40:15,30,5,13
2025-04-16 오후 4:40:19,50,3,14
2025-04-16 오후 4:40:20,30,6,15
2025-04-16 오후 4:40:20,30,7,16
2025-04-16 오후 4:40:22,10,5,17
2025-04-16 오후 4:40:23,100,1,18
2025-04-16 오후 4:40:31,10,1,1
2025-04-16 오후 4:40:35,10,2,2
2025-04-16 오후 4:40:37,50,1,3
2025-04-16 오후 4:40:41,50,2,4
2025-04-16 오후 4:40:45,0,1,5
2025-04-16 오후 4:40:47,30,1,6
2025-04-16 오후 4:40:48,30,2,7
2025-04-16 오후 4:40:50,10,3,8
2025-04-16 오후 4:40:51,30,3,9
2025-04-16 오후 4:40:52,100,1,10
2025-04-16 오후 4:40:58,BaseBall,1,1
2025-04-16 오후 4:41:02,bouncy ball,1,2
2025-04-16 오후 4:41:04,Steal ball,1,3
2025-04-16 오후 4:41:06,Steal ball,2,4
2025-04-16 오후 4:41:08,Sponge ball,1,5
2025-04-16 오후 4:41:10,Fur ball,1,6
2025-04-16 오후 4:41:17,30,1,1
2025-04-16 오후 4:41:19,30,2,2
2025-04-16 오후 4:41:21,50,1,3
2025-04-16 오후 4:41:24,10,1,4
2025-04-16 오후 4:41:26,100,1,5
2025-04-16 오후 4:41:28,0,1,6
2025-04-16 오후 4:41:32,50,2,7
2025-04-16 오후 4:41:36,50,3,8
2025-04-16 오후 4:41:43,Sponge ball,1,1
2025-04-16 오후 4:41:45,Fur ball,1,2
2025-04-16 오후 4:41:47,bouncy ball,1,3
2025-04-16 오후 4:41:49,Steal ball,1,4
2025-04-16 오후 4:41:51,Steal ball,2,5
2025-04-16 오후 4:41:53,BaseBall,1,6
2025-04-16 오후 4:41:53,BaseBall,2,7
2025-04-16 오후 4:41:56,bouncy ball,2,8
2025-04-16 오후 4:42:02,bouncy ball,1,1
2025-04-16 오후 4:42:07,BaseBall,1,2
2025-04-16 오후 4:42:09,Steal ball,1,3
2025-04-16 오후 4:42:11,Sponge ball,1,4
2025-04-16 오후 4:42:12,Fur ball,1,5
