2025-03-26 오후 1:25:50,Sponge ball,1,1
2025-03-26 오후 1:25:53,Sponge ball,2,2
2025-03-26 오후 1:25:57,Fur ball,1,3
2025-03-26 오후 1:25:59,bouncy ball,1,4
2025-03-26 오후 1:26:09,BaseBall,1,5
2025-03-26 오후 1:26:16,Steal ball,1,6
2025-03-26 오후 1:26:24,BaseBall,2,7
2025-03-26 오후 1:26:26,Steal ball,2,8
2025-03-26 오후 1:26:31,bouncy ball,2,9
2025-03-26 오후 1:26:36,Fur ball,2,10
2025-03-26 오후 1:26:41,Sponge ball,3,11
2025-03-26 오후 1:26:54,bouncy ball,3,12
2025-03-26 오후 1:27:01,Fur ball,3,13
2025-03-26 오후 1:27:19,Fur ball,1,1
2025-03-26 오후 1:27:27,Steal ball,1,2
2025-03-26 오후 1:27:30,BaseBall,1,3
2025-03-26 오후 1:27:34,Sponge ball,1,4
2025-03-26 오후 1:27:37,Sponge ball,2,5
2025-03-26 오후 1:27:37,Sponge ball,3,6
2025-03-26 오후 1:27:38,Sponge ball,4,7
2025-03-26 오후 1:27:43,Steal ball,2,8
2025-03-26 오후 1:27:48,bouncy ball,1,9
2025-03-26 오후 1:27:50,bouncy ball,2,10
2025-03-26 오후 1:28:01,BaseBall,2,11
2025-03-26 오후 1:28:03,BaseBall,3,12
2025-03-26 오후 1:28:16,Steal ball,1,1
2025-03-26 오후 1:28:22,Fur ball,1,2
2025-03-26 오후 1:28:28,Sponge ball,1,3
2025-03-26 오후 1:28:33,BaseBall,1,4
2025-03-26 오후 1:28:37,bouncy ball,1,5
2025-03-26 오후 1:28:42,Steal ball,2,6
2025-03-26 오후 1:28:58,30,1,1
2025-03-26 오후 1:29:01,100,1,2
2025-03-26 오후 1:29:18,10,1,3
2025-03-26 오후 1:29:22,0,1,4
2025-03-26 오후 1:29:25,50,1,5
2025-03-26 오후 1:29:30,50,2,6
2025-03-26 오후 1:29:31,50,3,7
2025-03-26 오후 1:29:32,50,4,8
2025-03-26 오후 1:29:33,50,5,9
2025-03-26 오후 1:29:44,50,6,10
2025-03-26 오후 1:29:48,100,2,11
2025-03-26 오후 1:29:51,0,2,12
2025-03-26 오후 1:29:55,10,2,13
2025-03-26 오후 1:30:02,30,2,14
2025-03-26 오후 1:30:05,100,3,15
2025-03-26 오후 1:30:05,100,4,16
2025-03-26 오후 1:30:08,0,3,17
2025-03-26 오후 1:30:11,10,3,18
2025-03-26 오후 1:30:14,100,5,19
2025-03-26 오후 1:30:19,50,7,20
2025-03-26 오후 1:30:23,30,3,21
2025-03-26 오후 1:30:27,100,6,22
2025-03-26 오후 1:30:32,50,8,23
2025-03-26 오후 1:30:48,100,1,1
2025-03-26 오후 1:30:55,30,1,2
2025-03-26 오후 1:31:01,0,1,3
2025-03-26 오후 1:31:06,100,2,4
2025-03-26 오후 1:31:12,10,1,5
2025-03-26 오후 1:31:17,50,1,6
2025-03-26 오후 1:31:21,50,2,7
2025-03-26 오후 1:31:24,100,3,8
2025-03-26 오후 1:31:28,30,2,9
2025-03-26 오후 1:31:31,100,4,10
2025-03-26 오후 1:31:34,50,3,11
2025-03-26 오후 1:31:39,100,5,12
2025-03-26 오후 1:33:05,50,4,13
2025-03-26 오후 1:35:54,0,1,1
2025-03-26 오후 1:35:57,10,1,2
2025-03-26 오후 1:36:03,100,1,3
2025-03-26 오후 1:36:11,0,2,4
2025-03-26 오후 1:36:19,10,2,5
2025-03-26 오후 1:36:23,50,1,6
2025-03-26 오후 1:36:27,30,1,7
2025-03-26 오후 1:36:32,50,2,8
2025-03-26 오후 1:36:47,Steal ball,1,1
2025-03-26 오후 1:36:52,Steal ball,2,2
2025-03-26 오후 1:36:56,BaseBall,1,3
2025-03-26 오후 1:37:01,bouncy ball,1,4
2025-03-26 오후 1:37:05,Fur ball,1,5
2025-03-26 오후 1:37:11,Sponge ball,1,6
2025-03-26 오후 1:37:25,30,1,1
2025-03-26 오후 1:37:32,10,1,2
2025-03-26 오후 1:37:36,100,1,3
2025-03-26 오후 1:37:40,0,1,4
2025-03-26 오후 1:37:44,0,2,5
2025-03-26 오후 1:37:48,30,2,6
2025-03-26 오후 1:37:52,10,2,7
2025-03-26 오후 1:37:55,0,3,8
2025-03-26 오후 1:37:58,50,1,9
2025-03-26 오후 1:38:13,Sponge ball,1,1
2025-03-26 오후 1:38:18,Fur ball,1,2
2025-03-26 오후 1:38:24,Sponge ball,2,3
2025-03-26 오후 1:38:29,Steal ball,1,4
2025-03-26 오후 1:38:36,Steal ball,2,5
2025-03-26 오후 1:38:42,BaseBall,1,6
2025-03-26 오후 1:38:47,bouncy ball,1,7
2025-03-26 오후 1:38:58,50,1,1
2025-03-26 오후 1:38:59,50,2,2
2025-03-26 오후 1:39:05,0,1,3
2025-03-26 오후 1:39:13,100,1,4
2025-03-26 오후 1:39:19,30,1,5
2025-03-26 오후 1:39:27,10,1,6
2025-03-26 오후 1:39:33,50,3,7
2025-03-26 오후 1:39:37,50,4,8
2025-03-26 오후 1:39:42,30,2,9
2025-03-26 오후 1:39:46,10,2,10
2025-03-26 오후 1:39:51,30,3,11
