2025-03-26 오전 10:21:56,Sponge ball,1,1
2025-03-26 오전 10:22:02,Fur ball,1,2
2025-03-26 오전 10:22:05,Steal ball,1,3
2025-03-26 오전 10:22:08,bouncy ball,1,4
2025-03-26 오전 10:22:12,Sponge ball,2,5
2025-03-26 오전 10:22:14,BaseBall,1,6
2025-03-26 오전 10:22:18,bouncy ball,2,7
2025-03-26 오전 10:22:19,bouncy ball,3,8
2025-03-26 오전 10:22:22,bouncy ball,4,9
2025-03-26 오전 10:22:25,Steal ball,2,10
2025-03-26 오전 10:22:27,Steal ball,3,11
2025-03-26 오전 10:22:29,bouncy ball,5,12
2025-03-26 오전 10:22:32,Sponge ball,3,13
2025-03-26 오전 10:22:34,Sponge ball,4,14
2025-03-26 오전 10:22:39,bouncy ball,6,15
2025-03-26 오전 10:22:41,bouncy ball,7,16
2025-03-26 오전 10:22:42,bouncy ball,8,17
2025-03-26 오전 10:22:44,BaseBall,2,18
2025-03-26 오전 10:22:46,BaseBall,3,19
2025-03-26 오전 10:22:46,BaseBall,4,20
2025-03-26 오전 10:22:49,BaseBall,5,21
2025-03-26 오전 10:22:54,Steal ball,4,22
2025-03-26 오전 10:23:01,Steal ball,5,23
2025-03-26 오전 10:23:03,Sponge ball,5,24
2025-03-26 오전 10:23:04,Steal ball,6,25
2025-03-26 오전 10:23:06,Steal ball,7,26
2025-03-26 오전 10:23:10,Steal ball,8,27
2025-03-26 오전 10:23:14,bouncy ball,9,28
2025-03-26 오전 10:23:16,bouncy ball,10,29
2025-03-26 오전 10:23:17,bouncy ball,11,30
2025-03-26 오전 10:23:18,bouncy ball,12,31
2025-03-26 오전 10:23:21,Sponge ball,6,32
2025-03-26 오전 10:23:23,Sponge ball,7,33
2025-03-26 오전 10:23:29,Sponge ball,8,34
2025-03-26 오전 10:23:33,BaseBall,6,35
2025-03-26 오전 10:23:35,Steal ball,9,36
2025-03-26 오전 10:23:38,Steal ball,10,37
2025-03-26 오전 10:23:41,Steal ball,11,38
2025-03-26 오전 10:23:44,Steal ball,12,39
2025-03-26 오전 10:23:46,Sponge ball,9,40
2025-03-26 오전 10:23:51,Sponge ball,10,41
2025-03-26 오전 10:23:54,Steal ball,13,42
2025-03-26 오전 10:23:57,bouncy ball,13,43
2025-03-26 오전 10:23:59,bouncy ball,14,44
2025-03-26 오전 10:24:02,Sponge ball,11,45
2025-03-26 오전 10:24:02,Sponge ball,12,46
2025-03-26 오전 10:24:03,Sponge ball,13,47
2025-03-26 오전 10:24:05,bouncy ball,15,48
2025-03-26 오전 10:24:12,BaseBall,7,49
2025-03-26 오전 10:24:14,BaseBall,8,50
2025-03-26 오전 10:24:21,bouncy ball,16,51
2025-03-26 오전 10:24:29,Fur ball,1,1
2025-03-26 오전 10:24:30,Fur ball,2,2
2025-03-26 오전 10:24:33,BaseBall,1,3
2025-03-26 오전 10:24:36,Steal ball,1,4
2025-03-26 오전 10:24:48,Steal ball,2,5
2025-03-26 오전 10:24:51,BaseBall,2,6
2025-03-26 오전 10:24:55,BaseBall,3,7
2025-03-26 오전 10:24:58,Sponge ball,1,8
2025-03-26 오전 10:24:59,Sponge ball,2,9
2025-03-26 오전 10:25:03,bouncy ball,1,10
2025-03-26 오전 10:25:04,bouncy ball,2,11
2025-03-26 오전 10:25:06,BaseBall,4,12
