2025-04-10 오후 10:26:04,0,1,1
2025-04-10 오후 10:26:05,0,2,2
2025-04-10 오후 10:26:10,50,1,3
2025-04-10 오후 10:26:14,30,1,4
2025-04-10 오후 10:26:16,30,2,5
2025-04-10 오후 10:26:18,30,3,6
2025-04-10 오후 10:26:22,10,1,7
2025-04-10 오후 10:26:23,10,2,8
2025-04-10 오후 10:26:23,10,3,9
2025-04-10 오후 10:26:31,30,4,10
2025-04-10 오후 10:26:31,30,5,11
2025-04-10 오후 10:26:35,10,4,12
2025-04-10 오후 10:26:41,100,1,13
2025-04-10 오후 10:26:47,100,2,14
2025-04-10 오후 10:26:50,50,2,15
2025-04-10 오후 10:26:52,50,3,16
2025-04-10 오후 10:26:53,50,4,17
2025-04-10 오후 10:27:04,bouncy ball,1,1
2025-04-10 오후 10:27:07,Sponge ball,1,2
2025-04-10 오후 10:27:08,Sponge ball,2,3
2025-04-10 오후 10:27:11,BaseBall,1,4
2025-04-10 오후 10:27:14,Fur ball,1,5
2025-04-10 오후 10:27:15,Fur ball,2,6
2025-04-10 오후 10:27:22,Sponge ball,3,7
2025-04-10 오후 10:27:25,Steal ball,1,8
2025-04-10 오후 10:27:30,Steal ball,2,9
2025-04-10 오후 10:27:34,BaseBall,2,10
2025-04-10 오후 10:27:36,BaseBall,3,11
2025-04-10 오후 10:27:36,BaseBall,4,12
2025-04-10 오후 10:27:39,bouncy ball,2,13
2025-04-10 오후 10:27:40,bouncy ball,3,14
2025-04-10 오후 10:27:42,bouncy ball,4,15
2025-04-10 오후 10:27:46,bouncy ball,5,16
2025-04-10 오후 10:27:48,bouncy ball,6,17
2025-04-10 오후 10:27:53,BaseBall,5,18
2025-04-10 오후 10:27:55,Steal ball,3,19
2025-04-10 오후 10:28:00,BaseBall,6,20
2025-04-10 오후 10:28:03,Steal ball,4,21
2025-04-10 오후 10:28:08,BaseBall,7,22
2025-04-10 오후 10:28:17,30,1,1
2025-04-10 오후 10:28:20,30,2,2
2025-04-10 오후 10:28:23,0,1,3
2025-04-10 오후 10:28:24,0,2,4
2025-04-10 오후 10:28:26,10,1,5
2025-04-10 오후 10:28:27,10,2,6
2025-04-10 오후 10:28:29,0,3,7
2025-04-10 오후 10:28:32,100,1,8
2025-04-10 오후 10:28:33,100,2,9
2025-04-10 오후 10:28:35,50,1,10
2025-04-10 오후 10:28:36,50,2,11
2025-04-10 오후 10:28:37,50,3,12
2025-04-10 오후 10:28:39,50,4,13
2025-04-10 오후 10:28:42,100,3,14
2025-04-10 오후 10:28:51,0,1,1
2025-04-10 오후 10:28:55,10,1,2
2025-04-10 오후 10:28:59,100,1,3
2025-04-10 오후 10:29:02,50,1,4
2025-04-10 오후 10:29:05,50,2,5
2025-04-10 오후 10:29:08,100,2,6
2025-04-10 오후 10:29:11,50,3,7
2025-04-10 오후 10:29:14,30,1,8
2025-04-10 오후 10:29:15,30,2,9
2025-04-10 오후 10:29:16,30,3,10
2025-04-10 오후 10:29:35,10,2,11
2025-04-10 오후 10:29:38,30,4,12
2025-04-10 오후 10:29:54,BaseBall,1,1
2025-04-10 오후 10:29:56,BaseBall,2,2
2025-04-10 오후 10:30:01,Sponge ball,1,3
2025-04-10 오후 10:30:03,Sponge ball,2,4
2025-04-10 오후 10:30:06,Fur ball,1,5
2025-04-10 오후 10:30:09,bouncy ball,1,6
2025-04-10 오후 10:30:12,Steal ball,1,7
2025-04-10 오후 10:30:21,BaseBall,3,8
2025-04-10 오후 10:30:24,BaseBall,4,9
2025-04-10 오후 10:30:26,Steal ball,2,10
2025-04-10 오후 10:30:29,Steal ball,3,11
2025-04-10 오후 10:30:32,BaseBall,5,12
2025-04-10 오후 10:30:37,BaseBall,6,13
2025-04-10 오후 10:30:48,BaseBall,1,1
2025-04-10 오후 10:30:56,Fur ball,1,2
2025-04-10 오후 10:30:59,Sponge ball,1,3
2025-04-10 오후 10:31:02,bouncy ball,1,4
2025-04-10 오후 10:31:05,Steal ball,1,5
2025-04-10 오후 10:31:09,BaseBall,2,6
2025-04-10 오후 10:31:11,BaseBall,3,7
2025-04-10 오후 10:31:17,Steal ball,2,8
2025-04-10 오후 10:31:24,Steal ball,3,9
2025-04-10 오후 10:31:26,Steal ball,4,10
2025-04-10 오후 10:31:33,BaseBall,4,11
2025-04-10 오후 10:31:35,BaseBall,5,12
2025-04-10 오후 10:31:47,Steal ball,5,13
2025-04-10 오후 10:32:03,50,1,1
2025-04-10 오후 10:32:08,0,1,2
2025-04-10 오후 10:32:13,100,1,3
2025-04-10 오후 10:32:16,30,1,4
2025-04-10 오후 10:32:20,10,1,5
2025-04-10 오후 10:32:24,100,2,6
2025-04-10 오후 10:32:26,30,2,7
2025-04-10 오후 10:32:29,50,2,8
2025-04-10 오후 10:32:31,50,3,9
2025-04-10 오후 10:32:34,100,3,10
2025-04-10 오후 10:32:37,100,4,11
2025-04-10 오후 10:32:38,100,5,12
2025-04-10 오후 10:32:48,Sponge ball,1,1
2025-04-10 오후 10:32:51,Fur ball,1,2
2025-04-10 오후 10:32:53,bouncy ball,1,3
2025-04-10 오후 10:32:57,BaseBall,1,4
2025-04-10 오후 10:33:00,Steal ball,1,5
2025-04-10 오후 10:33:32,30,1,1
2025-04-10 오후 10:33:35,10,1,2
2025-04-10 오후 10:33:38,50,1,3
2025-04-10 오후 10:33:41,100,1,4
2025-04-10 오후 10:33:44,0,1,5
2025-04-10 오후 10:33:59,100,2,6
2025-04-10 오후 10:34:01,50,2,7
2025-04-10 오후 10:34:04,50,3,8
2025-04-10 오후 10:34:06,50,4,9
2025-04-10 오후 10:34:10,100,3,10
2025-04-10 오후 10:34:22,Fur ball,1,1
2025-04-10 오후 10:34:32,Sponge ball,1,2
2025-04-10 오후 10:34:35,BaseBall,1,3
2025-04-10 오후 10:34:38,Steal ball,1,4
2025-04-10 오후 10:34:41,bouncy ball,1,5
