2025-04-17 오후 5:08:25,Fur ball,1,1
2025-04-17 오후 5:08:27,Sponge ball,1,2
2025-04-17 오후 5:08:28,BaseBall,1,3
2025-04-17 오후 5:08:30,bouncy ball,1,4
2025-04-17 오후 5:08:31,Steal ball,1,5
2025-04-17 오후 5:08:33,Fur ball,2,6
2025-04-17 오후 5:08:36,Sponge ball,2,7
2025-04-17 오후 5:08:37,BaseBall,2,8
2025-04-17 오후 5:08:40,Steal ball,2,9
2025-04-17 오후 5:08:41,bouncy ball,2,10
2025-04-17 오후 5:08:44,bouncy ball,3,11
2025-04-17 오후 5:08:48,Steal ball,3,12
2025-04-17 오후 5:08:51,BaseBall,3,13
2025-04-17 오후 5:08:55,Sponge ball,3,14
2025-04-17 오후 5:08:57,BaseBall,4,15
2025-04-17 오후 5:09:11,BaseBall,1,1
2025-04-17 오후 5:09:13,Steal ball,1,2
2025-04-17 오후 5:09:15,bouncy ball,1,3
2025-04-17 오후 5:09:16,Sponge ball,1,4
2025-04-17 오후 5:09:18,Sponge ball,2,5
2025-04-17 오후 5:09:21,Fur ball,1,6
2025-04-17 오후 5:09:24,Sponge ball,3,7
2025-04-17 오후 5:09:27,Steal ball,2,8
2025-04-17 오후 5:09:28,Steal ball,3,9
2025-04-17 오후 5:09:29,Sponge ball,4,10
2025-04-17 오후 5:09:31,bouncy ball,2,11
2025-04-17 오후 5:09:31,bouncy ball,3,12
2025-04-17 오후 5:09:32,BaseBall,2,13
2025-04-17 오후 5:09:34,Sponge ball,5,14
2025-04-17 오후 5:09:36,bouncy ball,4,15
2025-04-17 오후 5:09:39,BaseBall,3,16
2025-04-17 오후 5:09:42,bouncy ball,5,17
2025-04-17 오후 5:09:44,Steal ball,4,18
2025-04-17 오후 5:09:46,bouncy ball,6,19
2025-04-17 오후 5:09:48,Steal ball,5,20
2025-04-17 오후 5:09:58,100,1,1
2025-04-17 오후 5:09:59,100,2,2
2025-04-17 오후 5:10:01,30,1,3
2025-04-17 오후 5:10:04,10,1,4
2025-04-17 오후 5:10:07,50,1,5
2025-04-17 오후 5:10:09,0,1,6
2025-04-17 오후 5:10:12,10,2,7
2025-04-17 오후 5:10:16,50,2,8
2025-04-17 오후 5:10:21,50,3,9
2025-04-17 오후 5:10:22,30,2,10
2025-04-17 오후 5:10:25,100,3,11
2025-04-17 오후 5:11:32,30,3,12
2025-04-17 오후 5:11:36,50,4,13
2025-04-17 오후 5:11:39,30,4,14
2025-04-17 오후 5:11:42,100,4,15
2025-04-17 오후 5:11:50,50,5,16
2025-04-17 오후 5:11:52,50,6,17
2025-04-17 오후 5:11:55,100,5,18
2025-04-17 오후 5:11:58,100,6,19
2025-04-17 오후 5:12:00,50,7,20
2025-04-17 오후 5:12:05,100,7,21
2025-04-17 오후 5:12:08,100,8,22
2025-04-17 오후 5:12:11,50,8,23
2025-04-17 오후 5:12:12,100,9,24
2025-04-17 오후 5:12:15,50,9,25
2025-04-17 오후 5:12:20,30,5,26
2025-04-17 오후 5:12:31,10,1,1
2025-04-17 오후 5:12:35,50,1,2
2025-04-17 오후 5:12:36,50,2,3
2025-04-17 오후 5:12:41,100,1,4
2025-04-17 오후 5:12:44,100,2,5
2025-04-17 오후 5:12:46,100,3,6
2025-04-17 오후 5:12:49,30,1,7
2025-04-17 오후 5:12:53,0,1,8
2025-04-17 오후 5:12:56,10,2,9
2025-04-17 오후 5:12:59,50,3,10
2025-04-17 오후 5:13:01,100,4,11
2025-04-17 오후 5:13:03,30,2,12
2025-04-17 오후 5:13:05,50,4,13
2025-04-17 오후 5:13:07,30,3,14
2025-04-17 오후 5:13:11,50,5,15
2025-04-17 오후 5:13:13,100,5,16
2025-04-17 오후 5:13:17,100,6,17
2025-04-17 오후 5:13:23,100,7,18
2025-04-17 오후 5:13:31,10,1,1
2025-04-17 오후 5:13:34,100,1,2
2025-04-17 오후 5:13:37,50,1,3
2025-04-17 오후 5:13:40,30,1,4
2025-04-17 오후 5:13:42,0,1,5
2025-04-17 오후 5:13:48,30,2,6
2025-04-17 오후 5:13:49,30,3,7
2025-04-17 오후 5:13:56,50,2,8
2025-04-17 오후 5:14:00,30,4,9
2025-04-17 오후 5:14:02,10,2,10
2025-04-17 오후 5:14:03,10,3,11
2025-04-17 오후 5:14:05,100,2,12
2025-04-17 오후 5:14:10,30,5,13
2025-04-17 오후 5:14:12,100,3,14
2025-04-17 오후 5:14:14,50,3,15
2025-04-17 오후 5:14:16,100,4,16
2025-04-17 오후 5:14:18,50,4,17
2025-04-17 오후 5:14:21,50,5,18
2025-04-17 오후 5:14:24,100,5,19
2025-04-17 오후 5:14:26,50,6,20
2025-04-17 오후 5:14:29,100,6,21
2025-04-17 오후 5:14:31,30,6,22
2025-04-17 오후 5:14:53,50,1,1
2025-04-17 오후 5:14:55,0,1,2
2025-04-17 오후 5:14:58,10,1,3
2025-04-17 오후 5:15:01,30,1,4
2025-04-17 오후 5:15:03,30,2,5
2025-04-17 오후 5:15:05,100,1,6
2025-04-17 오후 5:15:06,100,2,7
2025-04-17 오후 5:15:10,0,2,8
2025-04-17 오후 5:15:13,10,2,9
2025-04-17 오후 5:15:14,10,3,10
2025-04-17 오후 5:15:17,30,3,11
2025-04-17 오후 5:15:18,30,4,12
2025-04-17 오후 5:15:20,50,2,13
2025-04-17 오후 5:15:21,50,3,14
2025-04-17 오후 5:15:24,10,4,15
2025-04-17 오후 5:15:29,50,4,16
2025-04-17 오후 5:15:32,30,5,17
2025-04-17 오후 5:15:36,10,5,18
2025-04-17 오후 5:15:41,100,3,19
2025-04-17 오후 5:15:45,50,5,20
2025-04-17 오후 5:15:47,30,6,21
2025-04-17 오후 5:15:48,30,7,22
2025-04-17 오후 5:15:57,100,4,23
2025-04-17 오후 5:16:07,Fur ball,1,1
2025-04-17 오후 5:16:12,BaseBall,1,2
2025-04-17 오후 5:16:15,bouncy ball,1,3
2025-04-17 오후 5:16:19,Sponge ball,1,4
2025-04-17 오후 5:16:23,Steal ball,1,5
2025-04-17 오후 5:16:25,Fur ball,2,6
2025-04-17 오후 5:16:28,Steal ball,2,7
