2025-03-26 오후 2:16:01,bouncy ball,1,1
2025-03-26 오후 2:16:04,Steal ball,1,2
2025-03-26 오후 2:16:07,BaseBall,1,3
2025-03-26 오후 2:16:10,Fur ball,1,4
2025-03-26 오후 2:16:12,BaseBall,2,5
2025-03-26 오후 2:16:15,Sponge ball,1,6
2025-03-26 오후 2:16:18,Steal ball,2,7
2025-03-26 오후 2:16:19,bouncy ball,2,8
2025-03-26 오후 2:16:21,Steal ball,3,9
2025-03-26 오후 2:16:24,BaseBall,3,10
2025-03-26 오후 2:16:27,bouncy ball,3,11
2025-03-26 오후 2:16:39,bouncy ball,1,1
2025-03-26 오후 2:16:45,Steal ball,1,2
2025-03-26 오후 2:16:53,BaseBall,1,3
2025-03-26 오후 2:16:56,Steal ball,2,4
2025-03-26 오후 2:16:59,BaseBall,2,5
2025-03-26 오후 2:17:02,Steal ball,3,6
2025-03-26 오후 2:17:05,Fur ball,1,7
2025-03-26 오후 2:17:08,Sponge ball,1,8
2025-03-26 오후 2:17:16,BaseBall,1,1
2025-03-26 오후 2:17:21,Steal ball,1,2
2025-03-26 오후 2:17:26,bouncy ball,1,3
2025-03-26 오후 2:17:29,Fur ball,1,4
2025-03-26 오후 2:17:35,Sponge ball,1,5
2025-03-26 오후 2:17:42,Sponge ball,2,6
2025-03-26 오후 2:17:44,bouncy ball,2,7
2025-03-26 오후 2:17:46,bouncy ball,3,8
2025-03-26 오후 2:17:49,Sponge ball,3,9
2025-03-26 오후 2:17:51,Steal ball,2,10
2025-03-26 오후 2:17:56,bouncy ball,4,11
2025-03-26 오후 2:17:59,Steal ball,3,12
2025-03-26 오후 2:18:01,Steal ball,4,13
2025-03-26 오후 2:18:04,BaseBall,2,14
2025-03-26 오후 2:18:06,Steal ball,5,15
2025-03-26 오후 2:18:07,Steal ball,6,16
2025-03-26 오후 2:18:09,Steal ball,7,17
2025-03-26 오후 2:18:16,BaseBall,3,18
2025-03-26 오후 2:18:19,BaseBall,4,19
2025-03-26 오후 2:18:23,Steal ball,8,20
2025-03-26 오후 2:18:31,10,1,1
2025-03-26 오후 2:18:35,0,1,2
2025-03-26 오후 2:18:38,100,1,3
2025-03-26 오후 2:18:40,50,1,4
2025-03-26 오후 2:18:43,50,2,5
2025-03-26 오후 2:18:47,30,1,6
2025-03-26 오후 2:18:48,30,2,7
2025-03-26 오후 2:18:50,30,3,8
2025-03-26 오후 2:18:52,10,2,9
2025-03-26 오후 2:18:54,30,4,10
2025-03-26 오후 2:18:56,10,3,11
2025-03-26 오후 2:18:58,50,3,12
2025-03-26 오후 2:19:08,bouncy ball,1,1
2025-03-26 오후 2:19:11,Sponge ball,1,2
2025-03-26 오후 2:19:15,Steal ball,1,3
2025-03-26 오후 2:19:17,BaseBall,1,4
2025-03-26 오후 2:19:20,Fur ball,1,5
2025-03-26 오후 2:19:23,bouncy ball,2,6
2025-03-26 오후 2:19:27,bouncy ball,3,7
2025-03-26 오후 2:19:39,100,1,1
2025-03-26 오후 2:19:42,100,2,2
2025-03-26 오후 2:19:44,50,1,3
2025-03-26 오후 2:19:50,10,1,4
2025-03-26 오후 2:19:52,10,2,5
2025-03-26 오후 2:19:55,10,3,6
2025-03-26 오후 2:19:59,0,1,7
2025-03-26 오후 2:20:03,10,4,8
2025-03-26 오후 2:20:04,30,1,9
2025-03-26 오후 2:20:08,10,5,10
2025-03-26 오후 2:20:09,30,2,11
2025-03-26 오후 2:20:11,100,3,12
2025-03-26 오후 2:20:14,50,2,13
2025-03-26 오후 2:20:17,100,4,14
2025-03-26 오후 2:20:20,50,3,15
2025-03-26 오후 2:20:23,100,5,16
2025-03-26 오후 2:20:23,100,6,17
2025-03-26 오후 2:20:25,100,7,18
2025-03-26 오후 2:20:27,100,8,19
2025-03-26 오후 2:20:58,30,1,1
2025-03-26 오후 2:21:01,10,1,2
2025-03-26 오후 2:21:03,0,1,3
2025-03-26 오후 2:21:06,100,1,4
2025-03-26 오후 2:21:10,50,1,5
2025-03-26 오후 2:21:12,10,2,6
2025-03-26 오후 2:21:14,50,2,7
2025-03-26 오후 2:21:17,30,2,8
2025-03-26 오후 2:21:18,30,3,9
2025-03-26 오후 2:21:20,30,4,10
2025-03-26 오후 2:21:25,50,3,11
2025-03-26 오후 2:21:27,30,5,12
2025-03-26 오후 2:21:29,100,2,13
2025-03-26 오후 2:21:41,30,1,1
2025-03-26 오후 2:21:45,100,1,2
2025-03-26 오후 2:21:46,0,1,3
2025-03-26 오후 2:21:50,10,1,4
2025-03-26 오후 2:21:52,50,1,5
2025-03-26 오후 2:21:54,30,2,6
2025-03-26 오후 2:21:57,100,2,7
2025-03-26 오후 2:22:05,Sponge ball,1,1
2025-03-26 오후 2:22:08,Fur ball,1,2
2025-03-26 오후 2:22:10,BaseBall,1,3
2025-03-26 오후 2:22:14,Steal ball,1,4
2025-03-26 오후 2:22:18,Steal ball,2,5
2025-03-26 오후 2:22:21,bouncy ball,1,6
2025-03-26 오후 2:22:21,bouncy ball,2,7
2025-03-26 오후 2:22:30,10,1,1
2025-03-26 오후 2:22:31,10,2,2
2025-03-26 오후 2:22:33,50,1,3
2025-03-26 오후 2:22:33,50,2,4
2025-03-26 오후 2:22:36,0,1,5
2025-03-26 오후 2:22:38,30,1,6
2025-03-26 오후 2:22:41,100,1,7
