timestamp,object_name,object_grab,total_grab,session,session_duration
2025-03-25 19:09:21,Sponge ball,4,12,1,41.0
2025-03-25 19:09:22,Fur ball,4,13,1,41.0
2025-03-25 19:09:24,BaseBall,3,14,1,41.0
2025-03-25 19:09:27,bouncy ball,4,16,1,41.0
2025-03-25 19:09:29,Steal ball,3,18,1,41.0
2025-03-25 19:10:04,Steal ball,10,19,2,60.0
2025-03-25 19:10:13,Fur ball,1,21,2,60.0
2025-03-25 19:10:15,Sponge ball,4,22,2,60.0
2025-03-25 19:10:33,BaseBall,11,39,2,60.0
2025-03-25 19:10:36,bouncy ball,14,40,2,60.0
2025-03-25 19:10:56,30,1,4,3,45.0
2025-03-25 19:11:00,0,2,6,3,45.0
2025-03-25 19:11:30,50,7,22,3,45.0
2025-03-25 19:11:32,100,8,24,3,45.0
2025-03-25 19:11:34,10,8,26,3,45.0
2025-03-25 19:12:06,Fur ball,1,11,4,111.0
2025-03-25 19:13:22,Sponge ball,12,34,4,111.0
2025-03-25 19:13:37,bouncy ball,11,44,4,111.0
2025-03-25 19:13:39,Steal ball,12,45,4,111.0
2025-03-25 19:13:41,BaseBall,9,46,4,111.0
2025-03-25 19:14:09,0,8,13,5,38.0
2025-03-25 19:14:14,10,5,16,5,38.0
2025-03-25 19:14:25,30,5,25,5,38.0
2025-03-25 19:14:27,50,5,27,5,38.0
2025-03-25 19:14:29,100,5,28,5,38.0
2025-03-25 19:14:47,Fur ball,1,9,6,53.0
2025-03-25 19:14:56,BaseBall,4,14,6,53.0
2025-03-25 19:15:26,Steal ball,7,25,6,53.0
2025-03-25 19:15:28,bouncy ball,8,26,6,53.0
2025-03-25 19:15:29,Sponge ball,7,27,6,53.0
2025-03-25 19:15:54,Fur ball,2,8,7,85.0
2025-03-25 19:16:06,Sponge ball,6,15,7,85.0
2025-03-25 19:17:02,bouncy ball,13,40,7,85.0
2025-03-25 19:17:04,Steal ball,7,41,7,85.0
2025-03-25 19:17:06,BaseBall,14,42,7,85.0
2025-03-25 19:32:31,0,3,31,8,97.0
2025-03-25 19:32:33,10,10,32,8,97.0
2025-03-25 19:33:06,100,8,41,8,97.0
2025-03-25 19:33:08,30,14,42,8,97.0
2025-03-25 19:33:10,50,8,43,8,97.0
2025-03-25 19:33:29,0,2,5,9,73.0
2025-03-25 19:33:40,10,4,11,9,73.0
2025-03-25 19:33:44,30,6,13,9,73.0
2025-03-25 19:34:31,50,8,26,9,73.0
2025-03-25 19:34:33,100,7,27,9,73.0
2025-03-25 19:35:01,100,3,9,10,43.0
2025-03-25 19:35:08,30,1,10,10,43.0
2025-03-25 19:35:12,50,4,12,10,43.0
2025-03-25 19:35:20,0,5,17,10,43.0
2025-03-25 19:35:25,10,5,18,10,43.0
