timestamp,object_name,object_grab,total_grab,session,session_duration
2025-04-16 14:50:41,0,1,9,1,53.0
2025-04-16 14:51:07,100,9,27,1,53.0
2025-04-16 14:51:14,30,9,32,1,53.0
2025-04-16 14:51:16,10,9,33,1,53.0
2025-04-16 14:51:18,50,6,34,1,53.0
2025-04-16 14:51:37,0,1,10,2,41.0
2025-04-16 14:51:57,10,5,23,2,41.0
2025-04-16 14:52:01,30,3,26,2,41.0
2025-04-16 14:52:05,50,8,29,2,41.0
2025-04-16 14:52:06,100,13,30,2,41.0
2025-04-16 14:52:27,50,1,1,3,24.0
2025-04-16 14:52:29,0,1,2,3,24.0
2025-04-16 14:52:42,100,3,8,3,24.0
2025-04-16 14:52:50,10,3,13,3,24.0
2025-04-16 14:52:51,30,6,14,3,24.0
2025-04-16 14:53:00,Fur ball,1,2,4,61.0
2025-04-16 14:53:30,Sponge ball,6,18,4,61.0
2025-04-16 14:53:47,bouncy ball,11,27,4,61.0
2025-04-16 14:53:58,BaseBall,10,35,4,61.0
2025-04-16 14:54:00,Steal ball,8,36,4,61.0
2025-04-16 14:54:16,Fur ball,2,7,5,107.0
2025-04-16 14:54:42,BaseBall,6,22,5,107.0
2025-04-16 14:54:49,Steal ball,4,25,5,107.0
2025-04-16 14:55:53,bouncy ball,24,57,5,107.0
2025-04-16 14:55:55,Sponge ball,22,58,5,107.0
2025-04-16 14:56:12,Fur ball,1,5,6,52.0
2025-04-16 14:56:30,Steal ball,5,13,6,52.0
2025-04-16 14:56:44,Sponge ball,5,21,6,52.0
2025-04-16 14:56:52,bouncy ball,9,27,6,52.0
2025-04-16 14:56:56,BaseBall,8,28,6,52.0
2025-04-16 14:57:14,Fur ball,3,6,7,40.0
2025-04-16 14:57:20,Steal ball,1,9,7,40.0
2025-04-16 14:57:29,Sponge ball,5,13,7,40.0
2025-04-16 14:57:41,BaseBall,4,17,7,40.0
2025-04-16 14:57:43,bouncy ball,5,18,7,40.0
2025-04-16 14:57:52,0,1,2,8,42.0
2025-04-16 14:58:09,10,1,9,8,42.0
2025-04-16 14:58:30,100,8,23,8,42.0
2025-04-16 14:58:32,30,11,25,8,42.0
2025-04-16 14:58:33,50,5,26,8,42.0
2025-04-16 14:58:45,Steal ball,4,4,9,53.0
2025-04-16 14:58:50,Fur ball,1,5,9,53.0
2025-04-16 14:59:16,Sponge ball,4,13,9,53.0
2025-04-16 14:59:31,bouncy ball,5,21,9,53.0
2025-04-16 14:59:34,BaseBall,8,22,9,53.0
2025-04-16 15:00:10,10,6,12,10,38.0
2025-04-16 15:00:12,0,3,13,10,38.0
2025-04-16 15:00:17,100,3,15,10,38.0
2025-04-16 15:00:28,50,4,20,10,38.0
2025-04-16 15:00:30,30,5,21,10,38.0
