timestamp,object_name,object_grab,total_grab,session,session_duration
2025-03-26 13:26:24,BaseBall,2,7,1,71.0
2025-03-26 13:26:26,Steal ball,2,8,1,71.0
2025-03-26 13:26:41,Sponge ball,3,11,1,71.0
2025-03-26 13:26:54,bouncy ball,3,12,1,71.0
2025-03-26 13:27:01,Fur ball,3,13,1,71.0
2025-03-26 13:27:19,Fur ball,1,1,2,44.0
2025-03-26 13:27:38,Sponge ball,4,7,2,44.0
2025-03-26 13:27:43,Steal ball,2,8,2,44.0
2025-03-26 13:27:50,bouncy ball,2,10,2,44.0
2025-03-26 13:28:03,BaseBall,3,12,2,44.0
2025-03-26 13:28:22,Fur ball,1,2,3,26.0
2025-03-26 13:28:28,Sponge ball,1,3,3,26.0
2025-03-26 13:28:33,BaseBall,1,4,3,26.0
2025-03-26 13:28:37,bouncy ball,1,5,3,26.0
2025-03-26 13:28:42,Steal ball,2,6,3,26.0
2025-03-26 13:30:08,0,3,17,4,94.0
2025-03-26 13:30:11,10,3,18,4,94.0
2025-03-26 13:30:23,30,3,21,4,94.0
2025-03-26 13:30:27,100,6,22,4,94.0
2025-03-26 13:30:32,50,8,23,4,94.0
2025-03-26 13:31:01,0,1,3,5,137.0
2025-03-26 13:31:12,10,1,5,5,137.0
2025-03-26 13:31:28,30,2,9,5,137.0
2025-03-26 13:31:39,100,5,12,5,137.0
2025-03-26 13:33:05,50,4,13,5,137.0
2025-03-26 13:36:03,100,1,3,6,38.0
2025-03-26 13:36:11,0,2,4,6,38.0
2025-03-26 13:36:19,10,2,5,6,38.0
2025-03-26 13:36:27,30,1,7,6,38.0
2025-03-26 13:36:32,50,2,8,6,38.0
2025-03-26 13:36:52,Steal ball,2,2,7,24.0
2025-03-26 13:36:56,BaseBall,1,3,7,24.0
2025-03-26 13:37:01,bouncy ball,1,4,7,24.0
2025-03-26 13:37:05,Fur ball,1,5,7,24.0
2025-03-26 13:37:11,Sponge ball,1,6,7,24.0
2025-03-26 13:37:36,100,1,3,8,33.0
2025-03-26 13:37:48,30,2,6,8,33.0
2025-03-26 13:37:52,10,2,7,8,33.0
2025-03-26 13:37:55,0,3,8,8,33.0
2025-03-26 13:37:58,50,1,9,8,33.0
2025-03-26 13:38:18,Fur ball,1,2,9,34.0
2025-03-26 13:38:24,Sponge ball,2,3,9,34.0
2025-03-26 13:38:36,Steal ball,2,5,9,34.0
2025-03-26 13:38:42,BaseBall,1,6,9,34.0
2025-03-26 13:38:47,bouncy ball,1,7,9,34.0
2025-03-26 13:39:05,0,1,3,10,53.0
2025-03-26 13:39:13,100,1,4,10,53.0
2025-03-26 13:39:37,50,4,8,10,53.0
2025-03-26 13:39:46,10,2,10,10,53.0
2025-03-26 13:39:51,30,3,11,10,53.0
