timestamp,object_name,object_grab,total_grab,session,session_duration
2025-04-10 22:26:05,0,2,2,1,49.0
2025-04-10 22:26:31,30,5,11,1,49.0
2025-04-10 22:26:35,10,4,12,1,49.0
2025-04-10 22:26:47,100,2,14,1,49.0
2025-04-10 22:26:53,50,4,17,1,49.0
2025-04-10 22:27:15,Fur ball,2,6,2,64.0
2025-04-10 22:27:22,Sponge ball,3,7,2,64.0
2025-04-10 22:27:48,bouncy ball,6,17,2,64.0
2025-04-10 22:28:03,Steal ball,4,21,2,64.0
2025-04-10 22:28:08,BaseBall,7,22,2,64.0
2025-04-10 22:28:20,30,2,2,3,25.0
2025-04-10 22:28:27,10,2,6,3,25.0
2025-04-10 22:28:29,0,3,7,3,25.0
2025-04-10 22:28:39,50,4,13,3,25.0
2025-04-10 22:28:42,100,3,14,3,25.0
2025-04-10 22:28:51,0,1,1,4,47.0
2025-04-10 22:29:08,100,2,6,4,47.0
2025-04-10 22:29:11,50,3,7,4,47.0
2025-04-10 22:29:35,10,2,11,4,47.0
2025-04-10 22:29:38,30,4,12,4,47.0
2025-04-10 22:30:03,Sponge ball,2,4,5,43.0
2025-04-10 22:30:06,Fur ball,1,5,5,43.0
2025-04-10 22:30:09,bouncy ball,1,6,5,43.0
2025-04-10 22:30:29,Steal ball,3,11,5,43.0
2025-04-10 22:30:37,BaseBall,6,13,5,43.0
2025-04-10 22:30:56,Fur ball,1,2,6,59.0
2025-04-10 22:30:59,Sponge ball,1,3,6,59.0
2025-04-10 22:31:02,bouncy ball,1,4,6,59.0
2025-04-10 22:31:35,BaseBall,5,12,6,59.0
2025-04-10 22:31:47,Steal ball,5,13,6,59.0
2025-04-10 22:32:08,0,1,2,7,35.0
2025-04-10 22:32:20,10,1,5,7,35.0
2025-04-10 22:32:26,30,2,7,7,35.0
2025-04-10 22:32:31,50,3,9,7,35.0
2025-04-10 22:32:38,100,5,12,7,35.0
2025-04-10 22:32:48,Sponge ball,1,1,8,12.0
2025-04-10 22:32:51,Fur ball,1,2,8,12.0
2025-04-10 22:32:53,bouncy ball,1,3,8,12.0
2025-04-10 22:32:57,BaseBall,1,4,8,12.0
2025-04-10 22:33:00,Steal ball,1,5,8,12.0
2025-04-10 22:33:32,30,1,1,9,38.0
2025-04-10 22:33:35,10,1,2,9,38.0
2025-04-10 22:33:44,0,1,5,9,38.0
2025-04-10 22:34:06,50,4,9,9,38.0
2025-04-10 22:34:10,100,3,10,9,38.0
2025-04-10 22:34:22,Fur ball,1,1,10,19.0
2025-04-10 22:34:32,Sponge ball,1,2,10,19.0
2025-04-10 22:34:35,BaseBall,1,3,10,19.0
2025-04-10 22:34:38,Steal ball,1,4,10,19.0
2025-04-10 22:34:41,bouncy ball,1,5,10,19.0
