timestamp,object_name,object_grab,total_grab,session,session_duration
2025-03-31 14:07:09,Fur ball,1,5,1,42.0
2025-03-31 14:07:14,Steal ball,1,6,1,42.0
2025-03-31 14:07:19,Sponge ball,4,7,1,42.0
2025-03-31 14:07:23,BaseBall,1,8,1,42.0
2025-03-31 14:07:31,bouncy ball,2,9,1,42.0
2025-03-31 14:07:43,Fur ball,1,1,2,46.0
2025-03-31 14:08:04,BaseBall,1,6,2,46.0
2025-03-31 14:08:22,Steal ball,5,10,2,46.0
2025-03-31 14:08:25,bouncy ball,2,11,2,46.0
2025-03-31 14:08:29,Sponge ball,3,12,2,46.0
2025-03-31 14:08:43,Fur ball,3,3,3,45.0
2025-03-31 14:09:01,Steal ball,2,8,3,45.0
2025-03-31 14:09:14,BaseBall,3,12,3,45.0
2025-03-31 14:09:17,bouncy ball,4,13,3,45.0
2025-03-31 14:09:23,Sponge ball,2,14,3,45.0
2025-03-31 14:09:53,0,1,8,4,45.0
2025-03-31 14:09:57,30,2,9,4,45.0
2025-03-31 14:10:04,10,2,10,4,45.0
2025-03-31 14:10:15,100,2,12,4,45.0
2025-03-31 14:10:18,50,6,13,4,45.0
2025-03-31 14:10:38,Fur ball,3,4,5,30.0
2025-03-31 14:10:47,Steal ball,1,7,5,30.0
2025-03-31 14:10:52,bouncy ball,2,8,5,30.0
2025-03-31 14:10:55,Sponge ball,2,9,5,30.0
2025-03-31 14:10:59,BaseBall,3,11,5,30.0
2025-03-31 14:11:24,0,1,5,6,33.0
2025-03-31 14:11:27,10,2,6,6,33.0
2025-03-31 14:11:30,30,2,7,6,33.0
2025-03-31 14:11:40,50,2,9,6,33.0
2025-03-31 14:11:43,100,3,10,6,33.0
2025-03-31 14:11:56,0,1,2,7,38.0
2025-03-31 14:12:08,10,1,6,7,38.0
2025-03-31 14:12:11,30,2,7,7,38.0
2025-03-31 14:12:27,50,4,11,7,38.0
2025-03-31 14:12:29,100,4,12,7,38.0
2025-03-31 14:12:37,0,1,1,8,24.0
2025-03-31 14:12:40,10,1,2,8,24.0
2025-03-31 14:12:49,30,1,4,8,24.0
2025-03-31 14:12:59,50,2,6,8,24.0
2025-03-31 14:13:01,100,2,7,8,24.0
2025-03-31 14:13:11,0,1,1,9,30.0
2025-03-31 14:13:15,10,1,2,9,30.0
2025-03-31 14:13:26,30,3,7,9,30.0
2025-03-31 14:13:36,100,3,11,9,30.0
2025-03-31 14:13:41,50,4,12,9,30.0
2025-03-31 14:13:50,Fur ball,1,1,10,18.0
2025-03-31 14:13:53,Sponge ball,1,2,10,18.0
2025-03-31 14:13:59,BaseBall,2,4,10,18.0
2025-03-31 14:14:06,Steal ball,1,6,10,18.0
2025-03-31 14:14:08,bouncy ball,2,7,10,18.0
