timestamp,object_name,object_grab,total_grab,session,session_duration
2025-04-17 11:07:56,Steal ball,1,2,1,65.0
2025-04-17 11:08:02,Fur ball,1,4,1,65.0
2025-04-17 11:08:10,Sponge ball,2,7,1,65.0
2025-04-17 11:08:56,BaseBall,7,19,1,65.0
2025-04-17 11:08:59,bouncy ball,9,20,1,65.0
2025-04-17 11:09:16,10,1,1,2,20.0
2025-04-17 11:09:21,0,1,3,2,20.0
2025-04-17 11:09:33,100,3,9,2,20.0
2025-04-17 11:09:35,30,3,10,2,20.0
2025-04-17 11:09:36,50,3,11,2,20.0
2025-04-17 11:09:51,30,2,4,3,40.0
2025-04-17 11:09:54,10,4,6,3,40.0
2025-04-17 11:10:22,0,1,15,3,40.0
2025-04-17 11:10:24,50,6,16,3,40.0
2025-04-17 11:10:25,100,4,17,3,40.0
2025-04-17 11:10:44,Fur ball,2,2,4,41.0
2025-04-17 11:11:00,Sponge ball,1,7,4,41.0
2025-04-17 11:11:09,Steal ball,3,11,4,41.0
2025-04-17 11:11:19,bouncy ball,5,16,4,41.0
2025-04-17 11:11:23,BaseBall,7,18,4,41.0
2025-04-17 11:11:53,0,2,8,5,120.0
2025-04-17 11:13:29,50,4,13,5,120.0
2025-04-17 11:13:35,30,6,15,5,120.0
2025-04-17 11:13:37,10,3,16,5,120.0
2025-04-17 11:13:39,100,2,17,5,120.0
2025-04-17 11:13:52,0,1,3,6,25.0
2025-04-17 11:14:03,30,3,10,6,25.0
2025-04-17 11:14:06,10,3,11,6,25.0
2025-04-17 11:14:11,100,4,13,6,25.0
2025-04-17 11:14:13,50,2,14,6,25.0
2025-04-17 11:14:21,BaseBall,1,1,7,9.0
2025-04-17 11:14:24,Fur ball,1,2,7,9.0
2025-04-17 11:14:26,bouncy ball,1,3,7,9.0
2025-04-17 11:14:28,Sponge ball,1,4,7,9.0
2025-04-17 11:14:30,Steal ball,1,5,7,9.0
2025-04-17 11:14:40,Sponge ball,2,2,8,19.0
2025-04-17 11:14:42,Fur ball,1,3,8,19.0
2025-04-17 11:14:47,BaseBall,2,5,8,19.0
2025-04-17 11:14:55,Steal ball,1,8,8,19.0
2025-04-17 11:14:57,bouncy ball,3,9,8,19.0
2025-04-17 11:15:08,Sponge ball,3,3,9,24.0
2025-04-17 11:15:14,Fur ball,1,8,9,24.0
2025-04-17 11:15:20,BaseBall,3,10,9,24.0
2025-04-17 11:15:25,Steal ball,3,12,9,24.0
2025-04-17 11:15:28,bouncy ball,4,14,9,24.0
2025-04-17 11:15:43,0,2,9,10,38.0
2025-04-17 11:15:56,10,5,19,10,38.0
2025-04-17 11:16:04,100,5,24,10,38.0
2025-04-17 11:16:08,50,9,26,10,38.0
2025-04-17 11:16:13,30,7,28,10,38.0
