timestamp,object_name,object_grab,total_grab,session,session_duration
2025-04-16 14:06:15,Fur ball,3,20,1,77.0
2025-04-16 14:06:36,Steal ball,16,37,1,77.0
2025-04-16 14:06:43,BaseBall,10,39,1,77.0
2025-04-16 14:06:55,bouncy ball,5,44,1,77.0
2025-04-16 14:06:58,Sponge ball,11,45,1,77.0
2025-04-16 14:07:34,Sponge ball,4,8,2,52.0
2025-04-16 14:07:40,Fur ball,2,9,2,52.0
2025-04-16 14:07:55,Steal ball,2,12,2,52.0
2025-04-16 14:07:58,bouncy ball,3,13,2,52.0
2025-04-16 14:08:03,BaseBall,3,14,2,52.0
2025-04-16 14:08:23,Fur ball,1,3,3,54.0
2025-04-16 14:08:47,Steal ball,2,7,3,54.0
2025-04-16 14:08:59,BaseBall,2,9,3,54.0
2025-04-16 14:09:03,Sponge ball,2,10,3,54.0
2025-04-16 14:09:08,bouncy ball,4,11,3,54.0
2025-04-16 14:09:21,0,1,2,4,36.0
2025-04-16 14:09:38,100,2,7,4,36.0
2025-04-16 14:09:41,10,2,8,4,36.0
2025-04-16 14:09:49,30,4,11,4,36.0
2025-04-16 14:09:53,50,5,14,4,36.0
2025-04-16 14:10:18,Fur ball,1,9,5,42.0
2025-04-16 14:10:22,Sponge ball,1,10,5,42.0
2025-04-16 14:10:39,bouncy ball,2,14,5,42.0
2025-04-16 14:10:43,Steal ball,10,15,5,42.0
2025-04-16 14:10:46,BaseBall,2,16,5,42.0
2025-04-16 14:11:23,50,2,8,6,42.0
2025-04-16 14:11:27,100,2,9,6,42.0
2025-04-16 14:11:29,30,4,10,6,42.0
2025-04-16 14:11:34,10,3,12,6,42.0
2025-04-16 14:11:38,0,2,13,6,42.0
2025-04-16 14:13:38,0,4,9,7,179.0
2025-04-16 14:14:13,30,7,23,7,179.0
2025-04-16 14:14:23,10,5,26,7,179.0
2025-04-16 14:14:42,100,9,31,7,179.0
2025-04-16 14:14:45,50,7,32,7,179.0
2025-04-16 14:14:59,0,1,1,8,98.0
2025-04-16 14:15:29,10,2,8,8,98.0
2025-04-16 14:16:30,100,6,27,8,98.0
2025-04-16 14:16:33,30,7,28,8,98.0
2025-04-16 14:16:37,50,13,29,8,98.0
2025-04-16 14:16:58,BaseBall,1,5,9,21.0
2025-04-16 14:17:01,Steal ball,2,6,9,21.0
2025-04-16 14:17:03,Fur ball,2,7,9,21.0
2025-04-16 14:17:06,bouncy ball,2,8,9,21.0
2025-04-16 14:17:08,Sponge ball,2,9,9,21.0
2025-04-16 14:17:23,10,1,3,10,36.0
2025-04-16 14:17:26,0,1,4,10,36.0
2025-04-16 14:17:44,50,4,11,10,36.0
2025-04-16 14:17:46,100,4,12,10,36.0
2025-04-16 14:17:52,30,3,13,10,36.0
