timestamp,object_name,object_grab,total_grab,session,session_duration,zone,Timestamp,SourceFile,expected_zone,correct,exp
2025-03-26 09:30:52,100,3,6,1,23.0,4,2025-03-26 09:30:41,20250326_093106_dohoon_zone_log1.csv,4,True,True
2025-03-26 09:30:56,30,1,7,1,23.0,2,2025-03-26 09:30:57,20250326_093106_dohoon_zone_log1.csv,2,True,True
2025-03-26 09:30:58,0,1,8,1,23.0,0,2025-03-26 09:30:59,20250326_093106_dohoon_zone_log1.csv,0,True,True
2025-03-26 09:31:00,10,1,9,1,23.0,1,2025-03-26 09:31:01,20250326_093106_dohoon_zone_log1.csv,1,True,True
2025-03-26 09:31:02,50,4,10,1,23.0,3,2025-03-26 09:30:49,20250326_093106_dohoon_zone_log1.csv,3,True,True
2025-03-26 09:31:11,bouncy ball,2,2,2,15.0,2,2025-03-26 09:31:12,20250326_093128_dohoon_zone_log1.csv,2,True,True
2025-03-26 09:31:17,Steal ball,2,5,2,15.0,4,2025-03-26 09:31:18,20250326_093128_dohoon_zone_log1.csv,4,True,True
2025-03-26 09:31:19,Sponge ball,1,6,2,15.0,1,2025-03-26 09:31:20,20250326_093128_dohoon_zone_log1.csv,1,True,True
2025-03-26 09:31:21,Fur ball,1,7,2,15.0,0,2025-03-26 09:31:22,20250326_093128_dohoon_zone_log1.csv,0,True,True
2025-03-26 09:31:24,BaseBall,2,8,2,15.0,3,2025-03-26 09:31:25,20250326_093128_dohoon_zone_log1.csv,3,True,True
2025-03-26 09:31:32,0,1,2,3,26.0,0,2025-03-26 09:31:33,20250326_093202_dohoon_zone_log1.csv,0,True,True
2025-03-26 09:31:38,10,2,5,3,26.0,1,2025-03-26 09:31:40,20250326_093202_dohoon_zone_log1.csv,1,True,True
2025-03-26 09:31:42,30,1,6,3,26.0,2,2025-03-26 09:31:44,20250326_093202_dohoon_zone_log1.csv,2,True,True
2025-03-26 09:31:50,50,4,9,3,26.0,3,2025-03-26 09:31:51,20250326_093202_dohoon_zone_log1.csv,3,True,True
2025-03-26 09:31:57,100,5,13,3,26.0,4,2025-03-26 09:31:58,20250326_093202_dohoon_zone_log1.csv,4,True,True
