timestamp,object_name,object_grab,total_grab,session,session_duration,zone,Timestamp,SourceFile,expected_zone,correct,exp
2025-04-17 16:08:38,0,2,4,1,23.0,0,2025-04-17 16:08:39,20250417_160902_jiyoung_zone_log.csv,0,True,True
2025-04-17 16:08:47,10,1,8,1,23.0,1,2025-04-17 16:08:48,20250417_160902_jiyoung_zone_log.csv,1,True,True
2025-04-17 16:08:50,30,2,9,1,23.0,2,2025-04-17 16:08:51,20250417_160902_jiyoung_zone_log.csv,2,True,True
2025-04-17 16:08:52,50,4,10,1,23.0,3,2025-04-17 16:08:53,20250417_160902_jiyoung_zone_log.csv,3,True,True
2025-04-17 16:08:55,100,2,11,1,23.0,4,2025-04-17 16:08:56,20250417_160902_jiyoung_zone_log.csv,4,True,True
2025-04-17 16:09:08,30,2,3,2,13.0,2,2025-04-17 16:09:09,20250417_160922_jiyoung_zone_log.csv,2,True,True
2025-04-17 16:09:10,0,1,4,2,13.0,0,2025-04-17 16:09:11,20250417_160922_jiyoung_zone_log.csv,0,True,True
2025-04-17 16:09:12,10,1,5,2,13.0,1,2025-04-17 16:09:13,20250417_160922_jiyoung_zone_log.csv,1,True,True
2025-04-17 16:09:15,50,1,6,2,13.0,3,2025-04-17 16:09:17,20250417_160922_jiyoung_zone_log.csv,3,True,True
2025-04-17 16:09:18,100,2,7,2,13.0,4,2025-04-17 16:09:19,20250417_160922_jiyoung_zone_log.csv,4,True,True
2025-04-17 16:09:27,Fur ball,1,2,3,21.0,0,2025-04-17 16:09:28,20250417_160951_jiyoung_zone_log.csv,0,True,True
2025-04-17 16:09:32,Sponge ball,1,4,3,21.0,1,2025-04-17 16:09:34,20250417_160951_jiyoung_zone_log.csv,1,True,True
2025-04-17 16:09:42,Steal ball,2,7,3,21.0,4,2025-04-17 16:09:44,20250417_160951_jiyoung_zone_log.csv,4,True,True
2025-04-17 16:09:44,BaseBall,2,8,3,21.0,3,2025-04-17 16:09:45,20250417_160951_jiyoung_zone_log.csv,3,True,True
2025-04-17 16:09:46,bouncy ball,3,9,3,21.0,2,2025-04-17 16:09:47,20250417_160951_jiyoung_zone_log.csv,2,True,True
2025-04-17 16:09:58,Sponge ball,2,3,4,20.0,1,2025-04-17 16:09:59,20250417_161018_jiyoung_zone_log.csv,1,True,True
2025-04-17 16:10:00,Fur ball,2,4,4,20.0,0,2025-04-17 16:10:00,20250417_161018_jiyoung_zone_log.csv,0,True,True
2025-04-17 16:10:09,Steal ball,1,11,4,20.0,4,2025-04-17 16:10:10,20250417_161018_jiyoung_zone_log.csv,4,True,True
2025-04-17 16:10:10,BaseBall,3,12,4,20.0,3,2025-04-17 16:10:08,20250417_161018_jiyoung_zone_log.csv,3,True,True
2025-04-17 16:10:14,bouncy ball,6,14,4,20.0,2,2025-04-17 16:10:05,20250417_161018_jiyoung_zone_log.csv,2,True,True
2025-04-17 16:10:26,Sponge ball,2,2,5,44.0,1,2025-04-17 16:10:27,20250417_161126_jiyoung_zone_log.csv,1,True,True
2025-04-17 16:10:28,Fur ball,2,4,5,44.0,0,2025-04-17 16:10:29,20250417_161126_jiyoung_zone_log.csv,0,True,True
2025-04-17 16:10:58,Steal ball,13,25,5,44.0,4,2025-04-17 16:10:59,20250417_161126_jiyoung_zone_log.csv,4,True,True
2025-04-17 16:11:01,BaseBall,8,28,5,44.0,3,2025-04-17 16:11:02,20250417_161126_jiyoung_zone_log.csv,3,True,True
2025-04-17 16:11:05,bouncy ball,5,30,5,44.0,2,2025-04-17 16:10:41,20250417_161126_jiyoung_zone_log.csv,2,True,True
2025-04-17 16:11:31,Fur ball,2,2,6,22.0,0,2025-04-17 16:11:31,20250417_161158_jiyoung_zone_log.csv,0,True,True
2025-04-17 16:11:35,Sponge ball,1,6,6,22.0,1,2025-04-17 16:11:36,20250417_161158_jiyoung_zone_log.csv,1,True,True
2025-04-17 16:11:44,Steal ball,1,11,6,22.0,4,2025-04-17 16:11:46,20250417_161158_jiyoung_zone_log.csv,4,True,True
2025-04-17 16:11:50,bouncy ball,3,14,6,22.0,2,2025-04-17 16:11:51,20250417_161158_jiyoung_zone_log.csv,2,True,True
2025-04-17 16:11:52,BaseBall,8,15,6,22.0,3,2025-04-17 16:11:53,20250417_161158_jiyoung_zone_log.csv,3,True,True
2025-04-17 16:12:01,0,1,1,7,18.0,0,2025-04-17 16:12:02,20250417_161223_jiyoung_zone_log.csv,0,True,True
2025-04-17 16:12:09,10,1,6,7,18.0,1,2025-04-17 16:12:10,20250417_161223_jiyoung_zone_log.csv,1,True,True
2025-04-17 16:12:13,30,3,8,7,18.0,2,2025-04-17 16:12:14,20250417_161223_jiyoung_zone_log.csv,2,True,True
2025-04-17 16:12:16,50,2,10,7,18.0,4,2025-04-17 16:12:18,20250417_161223_jiyoung_zone_log.csv,3,False,True
2025-04-17 16:12:19,100,4,11,7,18.0,3,2025-04-17 16:12:19,20250417_161223_jiyoung_zone_log.csv,4,False,True
2025-04-17 16:12:29,0,1,3,8,17.0,0,2025-04-17 16:12:30,20250417_161247_jiyoung_zone_log.csv,0,True,True
2025-04-17 16:12:33,10,1,5,8,17.0,1,2025-04-17 16:12:34,20250417_161247_jiyoung_zone_log.csv,1,True,True
2025-04-17 16:12:35,100,1,6,8,17.0,4,2025-04-17 16:12:37,20250417_161247_jiyoung_zone_log.csv,4,True,True
2025-04-17 16:12:40,50,3,8,8,17.0,3,2025-04-17 16:12:28,20250417_161247_jiyoung_zone_log.csv,3,True,True
2025-04-17 16:12:43,30,4,10,8,17.0,2,2025-04-17 16:12:44,20250417_161247_jiyoung_zone_log.csv,2,True,True
2025-04-17 16:12:49,0,1,1,9,23.0,0,2025-04-17 16:12:50,20250417_161316_jiyoung_zone_log.csv,0,True,True
2025-04-17 16:12:51,10,1,2,9,23.0,1,2025-04-17 16:12:52,20250417_161316_jiyoung_zone_log.csv,1,True,True
2025-04-17 16:12:57,30,2,6,9,23.0,2,2025-04-17 16:12:59,20250417_161316_jiyoung_zone_log.csv,2,True,True
2025-04-17 16:13:10,100,3,12,9,23.0,4,2025-04-17 16:13:11,20250417_161316_jiyoung_zone_log.csv,4,True,True
2025-04-17 16:13:12,50,6,13,9,23.0,3,2025-04-17 16:13:13,20250417_161316_jiyoung_zone_log.csv,3,True,True
2025-04-17 16:13:21,Fur ball,1,3,10,38.0,0,2025-04-17 16:13:22,20250417_161401_jiyoung_zone_log.csv,0,True,True
2025-04-17 16:13:23,Sponge ball,2,4,10,38.0,1,2025-04-17 16:13:24,20250417_161401_jiyoung_zone_log.csv,1,True,True
2025-04-17 16:13:38,Steal ball,4,14,10,38.0,4,2025-04-17 16:13:40,20250417_161401_jiyoung_zone_log.csv,4,True,True
2025-04-17 16:13:54,bouncy ball,9,26,10,38.0,2,2025-04-17 16:13:55,20250417_161401_jiyoung_zone_log.csv,2,True,True
2025-04-17 16:13:56,BaseBall,11,27,10,38.0,3,2025-04-17 16:13:57,20250417_161401_jiyoung_zone_log.csv,3,True,True
