timestamp,object_name,object_grab,total_grab,session,session_duration,zone,Timestamp,SourceFile,expected_zone,correct,exp
2025-04-10 22:26:05,0,2,2,1,49.0,0,2025-04-10 22:26:07,20250410_222700_seongjun_zone_log.csv,0,True,True
2025-04-10 22:26:31,30,5,11,1,49.0,2,2025-04-10 22:26:33,20250410_222700_seongjun_zone_log.csv,2,True,True
2025-04-10 22:26:35,10,4,12,1,49.0,1,2025-04-10 22:26:37,20250410_222700_seongjun_zone_log.csv,1,True,True
2025-04-10 22:26:47,100,2,14,1,49.0,4,2025-04-10 22:26:48,20250410_222700_seongjun_zone_log.csv,4,True,True
2025-04-10 22:26:53,50,4,17,1,49.0,3,2025-04-10 22:26:55,20250410_222700_seongjun_zone_log.csv,3,True,True
2025-04-10 22:27:15,Fur ball,2,6,2,64.0,0,2025-04-10 22:27:17,20250410_222814_seongjun_zone_log.csv,0,True,True
2025-04-10 22:27:22,Sponge ball,3,7,2,64.0,1,2025-04-10 22:27:23,20250410_222814_seongjun_zone_log.csv,1,True,True
2025-04-10 22:27:48,bouncy ball,6,17,2,64.0,2,2025-04-10 22:27:50,20250410_222814_seongjun_zone_log.csv,2,True,True
2025-04-10 22:28:03,Steal ball,4,21,2,64.0,4,2025-04-10 22:28:06,20250410_222814_seongjun_zone_log.csv,4,True,True
2025-04-10 22:28:08,BaseBall,7,22,2,64.0,3,2025-04-10 22:28:10,20250410_222814_seongjun_zone_log.csv,3,True,True
2025-04-10 22:28:20,30,2,2,3,25.0,2,2025-04-10 22:28:21,20250410_222848_seongjun_zone_log.csv,2,True,True
2025-04-10 22:28:27,10,2,6,3,25.0,1,2025-04-10 22:28:28,20250410_222848_seongjun_zone_log.csv,1,True,True
2025-04-10 22:28:29,0,3,7,3,25.0,0,2025-04-10 22:28:30,20250410_222848_seongjun_zone_log.csv,0,True,True
2025-04-10 22:28:39,50,4,13,3,25.0,3,2025-04-10 22:28:40,20250410_222848_seongjun_zone_log.csv,3,True,True
2025-04-10 22:28:42,100,3,14,3,25.0,4,2025-04-10 22:28:43,20250410_222848_seongjun_zone_log.csv,4,True,True
2025-04-10 22:28:51,0,1,1,4,47.0,0,2025-04-10 22:28:53,20250410_222944_seongjun_zone_log.csv,0,True,True
