timestamp,object_name,object_grab,total_grab,session,session_duration,zone,Timestamp,SourceFile,expected_zone,correct,exp
2025-04-17 17:08:33,Fur ball,2,6,1,32.0,0,2025-04-17 17:08:34,20250417_170907_suhan_zone_log.csv,0,True,False
2025-04-17 17:08:44,bouncy ball,3,11,1,32.0,1,2025-04-17 17:08:47,20250417_170907_suhan_zone_log.csv,2,False,False
2025-04-17 17:08:48,Steal ball,3,12,1,32.0,4,2025-04-17 17:08:50,20250417_170907_suhan_zone_log.csv,4,True,False
2025-04-17 17:08:55,Sponge ball,3,14,1,32.0,2,2025-04-17 17:08:56,20250417_170907_suhan_zone_log.csv,1,False,False
2025-04-17 17:08:57,BaseBall,4,15,1,32.0,3,2025-04-17 17:08:58,20250417_170907_suhan_zone_log.csv,3,True,False
2025-04-17 17:09:21,Fur ball,1,6,2,37.0,0,2025-04-17 17:09:23,20250417_170955_suhan_zone_log.csv,0,True,False
2025-04-17 17:09:34,Sponge ball,5,14,2,37.0,1,2025-04-17 17:09:35,20250417_170955_suhan_zone_log.csv,1,True,False
2025-04-17 17:09:39,BaseBall,3,16,2,37.0,2,2025-04-17 17:09:41,20250417_170955_suhan_zone_log.csv,3,False,False
2025-04-17 17:09:46,bouncy ball,6,19,2,37.0,3,2025-04-17 17:09:47,20250417_170955_suhan_zone_log.csv,2,False,False
2025-04-17 17:09:48,Steal ball,5,20,2,37.0,4,2025-04-17 17:09:50,20250417_170955_suhan_zone_log.csv,4,True,False
2025-04-17 17:10:09,0,1,6,3,142.0,0,2025-04-17 17:10:11,20250417_171227_suhan_zone_log.csv,0,True,False
2025-04-17 17:10:12,10,2,7,3,142.0,1,2025-04-17 17:10:15,20250417_171227_suhan_zone_log.csv,1,True,False
2025-04-17 17:12:12,100,9,24,3,142.0,2,2025-04-17 17:12:13,20250417_171227_suhan_zone_log.csv,4,False,False
2025-04-17 17:12:15,50,9,25,3,142.0,3,2025-04-17 17:12:17,20250417_171227_suhan_zone_log.csv,3,True,False
2025-04-17 17:12:20,30,5,26,3,142.0,4,2025-04-17 17:12:21,20250417_171227_suhan_zone_log.csv,2,False,False
2025-04-17 17:12:53,0,1,8,4,52.0,0,2025-04-17 17:12:55,20250417_171327_suhan_zone_log.csv,0,True,False
2025-04-17 17:12:56,10,2,9,4,52.0,1,2025-04-17 17:12:57,20250417_171327_suhan_zone_log.csv,1,True,False
2025-04-17 17:13:07,30,3,14,4,52.0,2,2025-04-17 17:13:08,20250417_171327_suhan_zone_log.csv,2,True,False
2025-04-17 17:13:11,50,5,15,4,52.0,3,2025-04-17 17:13:12,20250417_171327_suhan_zone_log.csv,3,True,False
2025-04-17 17:13:23,100,7,18,4,52.0,4,2025-04-17 17:13:20,20250417_171327_suhan_zone_log.csv,4,True,False
2025-04-17 17:13:42,0,1,5,5,60.0,0,2025-04-17 17:13:46,20250417_171437_suhan_zone_log.csv,0,True,False
2025-04-17 17:14:03,10,3,11,5,60.0,1,2025-04-17 17:14:04,20250417_171437_suhan_zone_log.csv,1,True,False
2025-04-17 17:14:26,50,6,20,5,60.0,2,2025-04-17 17:14:27,20250417_171437_suhan_zone_log.csv,3,False,False
2025-04-17 17:14:29,100,6,21,5,60.0,3,2025-04-17 17:14:30,20250417_171437_suhan_zone_log.csv,4,False,False
