zone,ObjectName,Timestamp,SourceFile,session
1,Sponge ball,2025-03-25 19:09:21,20250325_190933_bosung_zone_log1.csv,1
0,Fur ball,2025-03-25 19:09:23,20250325_190933_bosung_zone_log1.csv,1
2,BaseBall,2025-03-25 19:09:25,20250325_190933_bosung_zone_log1.csv,1
3,bouncy ball,2025-03-25 19:09:28,20250325_190933_bosung_zone_log1.csv,1
4,Steal ball,2025-03-25 19:09:30,20250325_190933_bosung_zone_log1.csv,1
4,Steal ball,2025-03-25 19:10:06,20250325_191042_bosung_zone_log1.csv,2
0,Fur ball,2025-03-25 19:10:14,20250325_191042_bosung_zone_log1.csv,2
1,Sponge ball,2025-03-25 19:10:16,20250325_191042_bosung_zone_log1.csv,2
2,BaseBall,2025-03-25 19:10:35,20250325_191042_bosung_zone_log1.csv,2
3,bouncy ball,2025-03-25 19:10:36,20250325_191042_bosung_zone_log1.csv,2
4,30,2025-03-25 19:10:57,20250325_191139_bosung_zone_log1.csv,3
0,0,2025-03-25 19:11:01,20250325_191139_bosung_zone_log1.csv,3
3,50,2025-03-25 19:11:31,20250325_191139_bosung_zone_log1.csv,3
2,100,2025-03-25 19:11:33,20250325_191139_bosung_zone_log1.csv,3
1,10,2025-03-25 19:11:35,20250325_191139_bosung_zone_log1.csv,3
0,Fur ball,2025-03-25 19:12:07,20250325_191346_bosung_zone_log1.csv,4
1,Sponge ball,2025-03-25 19:13:23,20250325_191346_bosung_zone_log1.csv,4
4,bouncy ball,2025-03-25 19:13:38,20250325_191346_bosung_zone_log1.csv,4
3,Steal ball,2025-03-25 19:13:40,20250325_191346_bosung_zone_log1.csv,4
2,BaseBall,2025-03-25 19:13:42,20250325_191346_bosung_zone_log1.csv,4
0,0,2025-03-25 19:14:10,20250325_191433_bosung_zone_log1.csv,5
1,10,2025-03-25 19:14:14,20250325_191433_bosung_zone_log1.csv,5
4,30,2025-03-25 19:14:26,20250325_191433_bosung_zone_log1.csv,5
2,50,2025-03-25 19:14:28,20250325_191433_bosung_zone_log1.csv,5
3,100,2025-03-25 19:14:30,20250325_191433_bosung_zone_log1.csv,5
0,Fur ball,2025-03-25 19:14:48,20250325_191538_bosung_zone_log1.csv,6
4,BaseBall,2025-03-25 19:14:57,20250325_191538_bosung_zone_log1.csv,6
3,Steal ball,2025-03-25 19:15:27,20250325_191538_bosung_zone_log1.csv,6
2,bouncy ball,2025-03-25 19:15:28,20250325_191538_bosung_zone_log1.csv,6
1,Sponge ball,2025-03-25 19:15:31,20250325_191538_bosung_zone_log1.csv,6
0,Fur ball,2025-03-25 19:15:55,20250325_191710_bosung_zone_log1.csv,7
1,Sponge ball,2025-03-25 19:16:07,20250325_191710_bosung_zone_log1.csv,7
2,bouncy ball,2025-03-25 19:17:03,20250325_191710_bosung_zone_log1.csv,7
3,Steal ball,2025-03-25 19:17:05,20250325_191710_bosung_zone_log1.csv,7
4,BaseBall,2025-03-25 19:17:07,20250325_191710_bosung_zone_log1.csv,7
0,0,2025-03-25 19:32:32,20250325_193315_bosung_zone_log1.csv,8
1,10,2025-03-25 19:32:34,20250325_193315_bosung_zone_log1.csv,8
4,100,2025-03-25 19:33:07,20250325_193315_bosung_zone_log1.csv,8
3,30,2025-03-25 19:33:09,20250325_193315_bosung_zone_log1.csv,8
2,50,2025-03-25 19:33:11,20250325_193315_bosung_zone_log1.csv,8
0,0,2025-03-25 19:33:30,20250325_193440_bosung_zone_log1.csv,9
1,10,2025-03-25 19:33:41,20250325_193440_bosung_zone_log1.csv,9
2,30,2025-03-25 19:33:45,20250325_193440_bosung_zone_log1.csv,9
4,50,2025-03-25 19:34:32,20250325_193440_bosung_zone_log1.csv,9
3,100,2025-03-25 19:34:34,20250325_193440_bosung_zone_log1.csv,9
4,100,2025-03-25 19:35:02,20250325_193532_bosung_zone_log1.csv,10
2,30,2025-03-25 19:35:09,20250325_193532_bosung_zone_log1.csv,10
3,50,2025-03-25 19:35:13,20250325_193532_bosung_zone_log1.csv,10
0,0,2025-03-25 19:35:22,20250325_193532_bosung_zone_log1.csv,10
1,10,2025-03-25 19:35:26,20250325_193532_bosung_zone_log1.csv,10
