zone,ObjectName,Timestamp,SourceFile,session
4,100,2025-03-26 09:30:41,20250326_093106_dohoon_zone_log1.csv,1
3,50,2025-03-26 09:30:49,20250326_093106_dohoon_zone_log1.csv,1
2,30,2025-03-26 09:30:57,20250326_093106_dohoon_zone_log1.csv,1
0,0,2025-03-26 09:30:59,20250326_093106_dohoon_zone_log1.csv,1
1,10,2025-03-26 09:31:01,20250326_093106_dohoon_zone_log1.csv,1
2,bouncy ball,2025-03-26 09:31:12,20250326_093128_dohoon_zone_log1.csv,2
4,Steal ball,2025-03-26 09:31:18,20250326_093128_dohoon_zone_log1.csv,2
1,Sponge ball,2025-03-26 09:31:20,20250326_093128_dohoon_zone_log1.csv,2
0,Fur ball,2025-03-26 09:31:22,20250326_093128_dohoon_zone_log1.csv,2
3,BaseBall,2025-03-26 09:31:25,20250326_093128_dohoon_zone_log1.csv,2
0,0,2025-03-26 09:31:33,20250326_093202_dohoon_zone_log1.csv,3
1,10,2025-03-26 09:31:40,20250326_093202_dohoon_zone_log1.csv,3
2,30,2025-03-26 09:31:44,20250326_093202_dohoon_zone_log1.csv,3
3,50,2025-03-26 09:31:51,20250326_093202_dohoon_zone_log1.csv,3
4,100,2025-03-26 09:31:58,20250326_093202_dohoon_zone_log1.csv,3
1,10,2025-03-26 09:32:10,20250326_093228_dohoon_zone_log1.csv,4
0,0,2025-03-26 09:32:12,20250326_093228_dohoon_zone_log1.csv,4
4,100,2025-03-26 09:32:18,20250326_093228_dohoon_zone_log1.csv,4
2,30,2025-03-26 09:32:22,20250326_093228_dohoon_zone_log1.csv,4
3,50,2025-03-26 09:32:24,20250326_093228_dohoon_zone_log1.csv,4
3,50,2025-03-26 09:32:43,20250326_093301_dohoon_zone_log1.csv,5
4,100,2025-03-26 09:32:45,20250326_093301_dohoon_zone_log1.csv,5
1,10,2025-03-26 09:32:50,20250326_093301_dohoon_zone_log1.csv,5
0,0,2025-03-26 09:32:52,20250326_093301_dohoon_zone_log1.csv,5
2,30,2025-03-26 09:32:55,20250326_093301_dohoon_zone_log1.csv,5
1,Sponge ball,2025-03-26 09:33:05,20250326_093335_dohoon_zone_log1.csv,6
0,Fur ball,2025-03-26 09:33:09,20250326_093335_dohoon_zone_log1.csv,6
2,bouncy ball,2025-03-26 09:33:23,20250326_093335_dohoon_zone_log1.csv,6
3,BaseBall,2025-03-26 09:33:29,20250326_093335_dohoon_zone_log1.csv,6
4,Steal ball,2025-03-26 09:33:31,20250326_093335_dohoon_zone_log1.csv,6
0,0,2025-03-26 09:33:41,20250326_093402_dohoon_zone_log1.csv,7
2,30,2025-03-26 09:33:44,20250326_093402_dohoon_zone_log1.csv,7
1,10,2025-03-26 09:33:48,20250326_093402_dohoon_zone_log1.csv,7
3,50,2025-03-26 09:33:55,20250326_093402_dohoon_zone_log1.csv,7
4,100,2025-03-26 09:33:59,20250326_093402_dohoon_zone_log1.csv,7
0,Fur ball,2025-03-26 09:34:13,20250326_093434_dohoon_zone_log1.csv,8
1,Sponge ball,2025-03-26 09:34:21,20250326_093434_dohoon_zone_log1.csv,8
2,bouncy ball,2025-03-26 09:34:24,20250326_093434_dohoon_zone_log1.csv,8
3,BaseBall,2025-03-26 09:34:27,20250326_093434_dohoon_zone_log1.csv,8
4,Steal ball,2025-03-26 09:34:31,20250326_093434_dohoon_zone_log1.csv,8
0,Fur ball,2025-03-26 09:34:49,20250326_093510_dohoon_zone_log1.csv,9
2,bouncy ball,2025-03-26 09:34:54,20250326_093510_dohoon_zone_log1.csv,9
1,Sponge ball,2025-03-26 09:35:01,20250326_093510_dohoon_zone_log1.csv,9
3,BaseBall,2025-03-26 09:35:03,20250326_093510_dohoon_zone_log1.csv,9
4,Steal ball,2025-03-26 09:35:05,20250326_093510_dohoon_zone_log1.csv,9
3,BaseBall,2025-03-26 09:35:17,20250326_093529_dohoon_zone_log1.csv,10
4,Steal ball,2025-03-26 09:35:20,20250326_093529_dohoon_zone_log1.csv,10
2,bouncy ball,2025-03-26 09:35:22,20250326_093529_dohoon_zone_log1.csv,10
0,Fur ball,2025-03-26 09:35:24,20250326_093529_dohoon_zone_log1.csv,10
1,Sponge ball,2025-03-26 09:35:26,20250326_093529_dohoon_zone_log1.csv,10
