zone,ObjectName,Timestamp,SourceFile,session
4,50,2025-04-16 14:50:40,20250416_145122_euncha_zone_log.csv,1
0,0,2025-04-16 14:50:42,20250416_145122_euncha_zone_log.csv,1
3,100,2025-04-16 14:51:04,20250416_145122_euncha_zone_log.csv,1
1,30,2025-04-16 14:51:15,20250416_145122_euncha_zone_log.csv,1
2,10,2025-04-16 14:51:17,20250416_145122_euncha_zone_log.csv,1
0,0,2025-04-16 14:51:38,20250416_145210_euncha_zone_log.csv,2
4,30,2025-04-16 14:51:40,20250416_145210_euncha_zone_log.csv,2
1,10,2025-04-16 14:51:58,20250416_145210_euncha_zone_log.csv,2
2,50,2025-04-16 14:52:06,20250416_145210_euncha_zone_log.csv,2
3,100,2025-04-16 14:52:07,20250416_145210_euncha_zone_log.csv,2
4,50,2025-04-16 14:52:28,20250416_145256_euncha_zone_log.csv,3
0,0,2025-04-16 14:52:30,20250416_145256_euncha_zone_log.csv,3
3,100,2025-04-16 14:52:43,20250416_145256_euncha_zone_log.csv,3
2,10,2025-04-16 14:52:50,20250416_145256_euncha_zone_log.csv,3
1,30,2025-04-16 14:52:52,20250416_145256_euncha_zone_log.csv,3
0,Fur ball,2025-04-16 14:53:01,20250416_145404_euncha_zone_log.csv,4
1,Sponge ball,2025-04-16 14:53:30,20250416_145404_euncha_zone_log.csv,4
2,bouncy ball,2025-04-16 14:53:48,20250416_145404_euncha_zone_log.csv,4
3,BaseBall,2025-04-16 14:53:52,20250416_145404_euncha_zone_log.csv,4
4,Steal ball,2025-04-16 14:54:00,20250416_145404_euncha_zone_log.csv,4
0,Fur ball,2025-04-16 14:54:17,20250416_145601_euncha_zone_log.csv,5
3,BaseBall,2025-04-16 14:54:43,20250416_145601_euncha_zone_log.csv,5
4,Steal ball,2025-04-16 14:54:50,20250416_145601_euncha_zone_log.csv,5
1,bouncy ball,2025-04-16 14:55:54,20250416_145601_euncha_zone_log.csv,5
2,Sponge ball,2025-04-16 14:55:56,20250416_145601_euncha_zone_log.csv,5
0,Fur ball,2025-04-16 14:56:13,20250416_145700_euncha_zone_log.csv,6
4,Steal ball,2025-04-16 14:56:31,20250416_145700_euncha_zone_log.csv,6
1,Sponge ball,2025-04-16 14:56:45,20250416_145700_euncha_zone_log.csv,6
3,bouncy ball,2025-04-16 14:56:54,20250416_145700_euncha_zone_log.csv,6
2,BaseBall,2025-04-16 14:56:56,20250416_145700_euncha_zone_log.csv,6
0,Fur ball,2025-04-16 14:57:13,20250416_145748_euncha_zone_log.csv,7
3,bouncy ball,2025-04-16 14:57:18,20250416_145748_euncha_zone_log.csv,7
4,Steal ball,2025-04-16 14:57:20,20250416_145748_euncha_zone_log.csv,7
1,Sponge ball,2025-04-16 14:57:30,20250416_145748_euncha_zone_log.csv,7
2,BaseBall,2025-04-16 14:57:40,20250416_145748_euncha_zone_log.csv,7
0,0,2025-04-16 14:57:54,20250416_145838_euncha_zone_log.csv,8
4,50,2025-04-16 14:57:59,20250416_145838_euncha_zone_log.csv,8
1,10,2025-04-16 14:58:10,20250416_145838_euncha_zone_log.csv,8
2,100,2025-04-16 14:58:27,20250416_145838_euncha_zone_log.csv,8
3,30,2025-04-16 14:58:29,20250416_145838_euncha_zone_log.csv,8
4,Steal ball,2025-04-16 14:58:46,20250416_145946_euncha_zone_log.csv,9
0,Fur ball,2025-04-16 14:58:51,20250416_145946_euncha_zone_log.csv,9
1,Sponge ball,2025-04-16 14:59:07,20250416_145946_euncha_zone_log.csv,9
2,bouncy ball,2025-04-16 14:59:33,20250416_145946_euncha_zone_log.csv,9
3,BaseBall,2025-04-16 14:59:35,20250416_145946_euncha_zone_log.csv,9
4,50,2025-04-16 14:59:55,20250416_150037_euncha_zone_log.csv,10
1,10,2025-04-16 15:00:11,20250416_150037_euncha_zone_log.csv,10
0,0,2025-04-16 15:00:12,20250416_150037_euncha_zone_log.csv,10
2,100,2025-04-16 15:00:18,20250416_150037_euncha_zone_log.csv,10
3,30,2025-04-16 15:00:22,20250416_150037_euncha_zone_log.csv,10
