zone,ObjectName,Timestamp,SourceFile,session
1,Sponge ball,2025-03-27 10:15:26,20250327_101636_jaeho_zone_log.csv,1
0,Fur ball,2025-03-27 10:15:31,20250327_101636_jaeho_zone_log.csv,1
4,Steal ball,2025-03-27 10:16:00,20250327_101636_jaeho_zone_log.csv,1
3,BaseBall,2025-03-27 10:16:17,20250327_101636_jaeho_zone_log.csv,1
2,bouncy ball,2025-03-27 10:16:21,20250327_101636_jaeho_zone_log.csv,1
1,10,2025-03-27 10:16:46,20250327_101717_jaeho_zone_log.csv,2
0,0,2025-03-27 10:16:51,20250327_101717_jaeho_zone_log.csv,2
2,30,2025-03-27 10:17:00,20250327_101717_jaeho_zone_log.csv,2
4,50,2025-03-27 10:17:07,20250327_101717_jaeho_zone_log.csv,2
3,100,2025-03-27 10:17:10,20250327_101717_jaeho_zone_log.csv,2
2,30,2025-03-27 10:17:26,20250327_101808_jaeho_zone_log.csv,3
0,0,2025-03-27 10:17:30,20250327_101808_jaeho_zone_log.csv,3
1,10,2025-03-27 10:17:37,20250327_101808_jaeho_zone_log.csv,3
3,50,2025-03-27 10:17:43,20250327_101808_jaeho_zone_log.csv,3
4,100,2025-03-27 10:17:47,20250327_101808_jaeho_zone_log.csv,3
1,Sponge ball,2025-03-27 10:18:18,20250327_101922_jaeho_zone_log.csv,4
0,Fur ball,2025-03-27 10:18:31,20250327_101922_jaeho_zone_log.csv,4
2,bouncy ball,2025-03-27 10:18:41,20250327_101922_jaeho_zone_log.csv,4
3,BaseBall,2025-03-27 10:18:50,20250327_101922_jaeho_zone_log.csv,4
4,Steal ball,2025-03-27 10:18:53,20250327_101922_jaeho_zone_log.csv,4
1,Sponge ball,2025-03-27 10:19:48,20250327_102025_jaeho_zone_log.csv,5
0,Fur ball,2025-03-27 10:19:51,20250327_102025_jaeho_zone_log.csv,5
3,BaseBall,2025-03-27 10:19:54,20250327_102025_jaeho_zone_log.csv,5
4,Steal ball,2025-03-27 10:19:58,20250327_102025_jaeho_zone_log.csv,5
2,bouncy ball,2025-03-27 10:20:10,20250327_102025_jaeho_zone_log.csv,5
0,Fur ball,2025-03-27 10:20:35,20250327_102126_jaeho_zone_log.csv,6
1,Sponge ball,2025-03-27 10:20:39,20250327_102126_jaeho_zone_log.csv,6
4,Steal ball,2025-03-27 10:20:51,20250327_102126_jaeho_zone_log.csv,6
3,BaseBall,2025-03-27 10:21:07,20250327_102126_jaeho_zone_log.csv,6
2,bouncy ball,2025-03-27 10:21:11,20250327_102126_jaeho_zone_log.csv,6
1,10,2025-03-27 10:21:33,20250327_102240_jaeho_zone_log.csv,7
0,0,2025-03-27 10:21:55,20250327_102240_jaeho_zone_log.csv,7
2,30,2025-03-27 10:22:08,20250327_102240_jaeho_zone_log.csv,7
4,100,2025-03-27 10:22:18,20250327_102240_jaeho_zone_log.csv,7
3,50,2025-03-27 10:22:31,20250327_102240_jaeho_zone_log.csv,7
0,0,2025-03-27 10:22:47,20250327_102323_jaeho_zone_log.csv,8
1,10,2025-03-27 10:23:00,20250327_102323_jaeho_zone_log.csv,8
2,30,2025-03-27 10:23:03,20250327_102323_jaeho_zone_log.csv,8
3,50,2025-03-27 10:23:07,20250327_102323_jaeho_zone_log.csv,8
4,100,2025-03-27 10:23:10,20250327_102323_jaeho_zone_log.csv,8
0,0,2025-03-27 10:23:34,20250327_102413_jaeho_zone_log.csv,9
1,10,2025-03-27 10:23:44,20250327_102413_jaeho_zone_log.csv,9
2,30,2025-03-27 10:23:46,20250327_102413_jaeho_zone_log.csv,9
3,50,2025-03-27 10:23:54,20250327_102413_jaeho_zone_log.csv,9
4,100,2025-03-27 10:23:56,20250327_102413_jaeho_zone_log.csv,9
0,Fur ball,2025-03-27 10:24:23,20250327_102514_jaeho_zone_log.csv,10
1,Sponge ball,2025-03-27 10:24:25,20250327_102514_jaeho_zone_log.csv,10
4,Steal ball,2025-03-27 10:24:38,20250327_102514_jaeho_zone_log.csv,10
2,bouncy ball,2025-03-27 10:24:58,20250327_102514_jaeho_zone_log.csv,10
3,BaseBall,2025-03-27 10:25:02,20250327_102514_jaeho_zone_log.csv,10
