zone,ObjectName,Timestamp,SourceFile,session
0,Fur ball,2025-04-16 16:10:50,20250416_161124_jinu_zone_log.csv,1
3,BaseBall,2025-04-16 16:11:05,20250416_161124_jinu_zone_log.csv,1
1,Sponge ball,2025-04-16 16:11:08,20250416_161124_jinu_zone_log.csv,1
2,bouncy ball,2025-04-16 16:11:10,20250416_161124_jinu_zone_log.csv,1
4,Steal ball,2025-04-16 16:11:17,20250416_161124_jinu_zone_log.csv,1
0,0,2025-04-16 16:11:36,20250416_161301_jinu_zone_log.csv,2
4,100,2025-04-16 16:12:37,20250416_161301_jinu_zone_log.csv,2
1,50,2025-04-16 16:12:46,20250416_161301_jinu_zone_log.csv,2
2,10,2025-04-16 16:12:55,20250416_161301_jinu_zone_log.csv,2
3,30,2025-04-16 16:12:58,20250416_161301_jinu_zone_log.csv,2
0,0,2025-04-16 16:13:11,20250416_161354_jinu_zone_log.csv,3
1,30,2025-04-16 16:13:36,20250416_161354_jinu_zone_log.csv,3
4,50,2025-04-16 16:13:44,20250416_161354_jinu_zone_log.csv,3
3,100,2025-04-16 16:13:45,20250416_161354_jinu_zone_log.csv,3
2,10,2025-04-16 16:13:48,20250416_161354_jinu_zone_log.csv,3
0,0,2025-04-16 16:14:19,20250416_161447_jinu_zone_log.csv,4
4,30,2025-04-16 16:14:33,20250416_161447_jinu_zone_log.csv,4
3,50,2025-04-16 16:14:38,20250416_161447_jinu_zone_log.csv,4
2,10,2025-04-16 16:14:42,20250416_161447_jinu_zone_log.csv,4
1,100,2025-04-16 16:14:44,20250416_161447_jinu_zone_log.csv,4
0,0,2025-04-16 16:15:19,20250416_161552_jinu_zone_log.csv,5
1,50,2025-04-16 16:15:32,20250416_161552_jinu_zone_log.csv,5
4,100,2025-04-16 16:15:43,20250416_161552_jinu_zone_log.csv,5
3,10,2025-04-16 16:15:47,20250416_161552_jinu_zone_log.csv,5
2,30,2025-04-16 16:15:48,20250416_161552_jinu_zone_log.csv,5
3,BaseBall,2025-04-16 16:16:16,20250416_161639_jinu_zone_log.csv,6
2,bouncy ball,2025-04-16 16:16:23,20250416_161639_jinu_zone_log.csv,6
0,Fur ball,2025-04-16 16:16:25,20250416_161639_jinu_zone_log.csv,6
1,Sponge ball,2025-04-16 16:16:28,20250416_161639_jinu_zone_log.csv,6
4,Steal ball,2025-04-16 16:16:35,20250416_161639_jinu_zone_log.csv,6
0,Fur ball,2025-04-16 16:16:54,20250416_161738_jinu_zone_log.csv,7
1,BaseBall,2025-04-16 16:17:09,20250416_161738_jinu_zone_log.csv,7
2,Sponge ball,2025-04-16 16:17:15,20250416_161738_jinu_zone_log.csv,7
4,Steal ball,2025-04-16 16:17:32,20250416_161738_jinu_zone_log.csv,7
3,bouncy ball,2025-04-16 16:17:34,20250416_161738_jinu_zone_log.csv,7
0,Fur ball,2025-04-16 16:18:00,20250416_161849_jinu_zone_log.csv,8
1,Sponge ball,2025-04-16 16:18:15,20250416_161849_jinu_zone_log.csv,8
2,BaseBall,2025-04-16 16:18:40,20250416_161849_jinu_zone_log.csv,8
4,Steal ball,2025-04-16 16:18:42,20250416_161849_jinu_zone_log.csv,8
3,bouncy ball,2025-04-16 16:18:45,20250416_161849_jinu_zone_log.csv,8
0,Fur ball,2025-04-16 16:18:59,20250416_161949_jinu_zone_log.csv,9
3,Steal ball,2025-04-16 16:19:31,20250416_161949_jinu_zone_log.csv,9
4,BaseBall,2025-04-16 16:19:33,20250416_161949_jinu_zone_log.csv,9
1,bouncy ball,2025-04-16 16:19:38,20250416_161949_jinu_zone_log.csv,9
2,Sponge ball,2025-04-16 16:19:43,20250416_161949_jinu_zone_log.csv,9
0,0,2025-04-16 16:20:48,20250416_162121_jinu_zone_log.csv,10
1,10,2025-04-16 16:20:50,20250416_162121_jinu_zone_log.csv,10
3,100,2025-04-16 16:21:12,20250416_162121_jinu_zone_log.csv,10
4,30,2025-04-16 16:21:16,20250416_162121_jinu_zone_log.csv,10
2,50,2025-04-16 16:21:18,20250416_162121_jinu_zone_log.csv,10
