zone,ObjectName,Timestamp,SourceFile,session
0,0,2025-04-17 16:08:39,20250417_160902_jiyoung_zone_log.csv,1
1,10,2025-04-17 16:08:48,20250417_160902_jiyoung_zone_log.csv,1
2,30,2025-04-17 16:08:51,20250417_160902_jiyoung_zone_log.csv,1
3,50,2025-04-17 16:08:53,20250417_160902_jiyoung_zone_log.csv,1
4,100,2025-04-17 16:08:56,20250417_160902_jiyoung_zone_log.csv,1
2,30,2025-04-17 16:09:09,20250417_160922_jiyoung_zone_log.csv,2
0,0,2025-04-17 16:09:11,20250417_160922_jiyoung_zone_log.csv,2
1,10,2025-04-17 16:09:13,20250417_160922_jiyoung_zone_log.csv,2
3,50,2025-04-17 16:09:17,20250417_160922_jiyoung_zone_log.csv,2
4,100,2025-04-17 16:09:19,20250417_160922_jiyoung_zone_log.csv,2
0,Fur ball,2025-04-17 16:09:28,20250417_160951_jiyoung_zone_log.csv,3
1,Sponge ball,2025-04-17 16:09:34,20250417_160951_jiyoung_zone_log.csv,3
4,Steal ball,2025-04-17 16:09:44,20250417_160951_jiyoung_zone_log.csv,3
3,BaseBall,2025-04-17 16:09:45,20250417_160951_jiyoung_zone_log.csv,3
2,bouncy ball,2025-04-17 16:09:47,20250417_160951_jiyoung_zone_log.csv,3
1,Sponge ball,2025-04-17 16:09:59,20250417_161018_jiyoung_zone_log.csv,4
0,Fur ball,2025-04-17 16:10:00,20250417_161018_jiyoung_zone_log.csv,4
2,bouncy ball,2025-04-17 16:10:05,20250417_161018_jiyoung_zone_log.csv,4
3,BaseBall,2025-04-17 16:10:08,20250417_161018_jiyoung_zone_log.csv,4
4,Steal ball,2025-04-17 16:10:10,20250417_161018_jiyoung_zone_log.csv,4
1,Sponge ball,2025-04-17 16:10:27,20250417_161126_jiyoung_zone_log.csv,5
0,Fur ball,2025-04-17 16:10:29,20250417_161126_jiyoung_zone_log.csv,5
2,bouncy ball,2025-04-17 16:10:41,20250417_161126_jiyoung_zone_log.csv,5
4,Steal ball,2025-04-17 16:10:59,20250417_161126_jiyoung_zone_log.csv,5
3,BaseBall,2025-04-17 16:11:02,20250417_161126_jiyoung_zone_log.csv,5
0,Fur ball,2025-04-17 16:11:31,20250417_161158_jiyoung_zone_log.csv,6
1,Sponge ball,2025-04-17 16:11:36,20250417_161158_jiyoung_zone_log.csv,6
4,Steal ball,2025-04-17 16:11:46,20250417_161158_jiyoung_zone_log.csv,6
2,bouncy ball,2025-04-17 16:11:51,20250417_161158_jiyoung_zone_log.csv,6
3,BaseBall,2025-04-17 16:11:53,20250417_161158_jiyoung_zone_log.csv,6
0,0,2025-04-17 16:12:02,20250417_161223_jiyoung_zone_log.csv,7
1,10,2025-04-17 16:12:10,20250417_161223_jiyoung_zone_log.csv,7
2,30,2025-04-17 16:12:14,20250417_161223_jiyoung_zone_log.csv,7
4,50,2025-04-17 16:12:18,20250417_161223_jiyoung_zone_log.csv,7
3,100,2025-04-17 16:12:19,20250417_161223_jiyoung_zone_log.csv,7
3,50,2025-04-17 16:12:28,20250417_161247_jiyoung_zone_log.csv,8
0,0,2025-04-17 16:12:30,20250417_161247_jiyoung_zone_log.csv,8
1,10,2025-04-17 16:12:34,20250417_161247_jiyoung_zone_log.csv,8
4,100,2025-04-17 16:12:37,20250417_161247_jiyoung_zone_log.csv,8
2,30,2025-04-17 16:12:44,20250417_161247_jiyoung_zone_log.csv,8
0,0,2025-04-17 16:12:50,20250417_161316_jiyoung_zone_log.csv,9
1,10,2025-04-17 16:12:52,20250417_161316_jiyoung_zone_log.csv,9
2,30,2025-04-17 16:12:59,20250417_161316_jiyoung_zone_log.csv,9
4,100,2025-04-17 16:13:11,20250417_161316_jiyoung_zone_log.csv,9
3,50,2025-04-17 16:13:13,20250417_161316_jiyoung_zone_log.csv,9
0,Fur ball,2025-04-17 16:13:22,20250417_161401_jiyoung_zone_log.csv,10
1,Sponge ball,2025-04-17 16:13:24,20250417_161401_jiyoung_zone_log.csv,10
4,Steal ball,2025-04-17 16:13:40,20250417_161401_jiyoung_zone_log.csv,10
2,bouncy ball,2025-04-17 16:13:55,20250417_161401_jiyoung_zone_log.csv,10
3,BaseBall,2025-04-17 16:13:57,20250417_161401_jiyoung_zone_log.csv,10
