zone,ObjectName,Timestamp,SourceFile,session
0,0,2025-04-12 16:43:53,20250412_164545_sarang_zone_log.csv,1
1,30,2025-04-12 16:44:06,20250412_164545_sarang_zone_log.csv,1
2,10,2025-04-12 16:44:20,20250412_164545_sarang_zone_log.csv,1
3,50,2025-04-12 16:44:27,20250412_164545_sarang_zone_log.csv,1
4,100,2025-04-12 16:44:30,20250412_164545_sarang_zone_log.csv,1
0,Fur ball,2025-04-12 16:44:55,20250412_164545_sarang_zone_log.csv,1
1,bouncy ball,2025-04-12 16:45:15,20250412_164545_sarang_zone_log.csv,1
2,Sponge ball,2025-04-12 16:45:20,20250412_164545_sarang_zone_log.csv,1
3,Steal ball,2025-04-12 16:45:38,20250412_164545_sarang_zone_log.csv,1
4,BaseBall,2025-04-12 16:45:40,20250412_164545_sarang_zone_log.csv,1
0,Fur ball,2025-04-12 16:46:08,20250412_164652_sarang_zone_log.csv,2
1,Sponge ball,2025-04-12 16:46:24,20250412_164652_sarang_zone_log.csv,2
2,bouncy ball,2025-04-12 16:46:28,20250412_164652_sarang_zone_log.csv,2
3,BaseBall,2025-04-12 16:46:43,20250412_164652_sarang_zone_log.csv,2
4,Steal ball,2025-04-12 16:46:46,20250412_164652_sarang_zone_log.csv,2
0,0,2025-04-12 16:47:16,20250412_164828_sarang_zone_log.csv,3
1,30,2025-04-12 16:48:01,20250412_164828_sarang_zone_log.csv,3
2,100,2025-04-12 16:48:04,20250412_164828_sarang_zone_log.csv,3
3,10,2025-04-12 16:48:22,20250412_164828_sarang_zone_log.csv,3
4,50,2025-04-12 16:48:24,20250412_164828_sarang_zone_log.csv,3
0,0,2025-04-12 16:49:01,20250412_164936_sarang_zone_log.csv,4
1,100,2025-04-12 16:49:16,20250412_164936_sarang_zone_log.csv,4
2,10,2025-04-12 16:49:21,20250412_164936_sarang_zone_log.csv,4
3,30,2025-04-12 16:49:29,20250412_164936_sarang_zone_log.csv,4
4,50,2025-04-12 16:49:32,20250412_164936_sarang_zone_log.csv,4
0,Fur ball,2025-04-12 16:49:55,20250412_165132_sarang_zone_log.csv,5
1,BaseBall,2025-04-12 16:50:18,20250412_165132_sarang_zone_log.csv,5
2,Steal ball,2025-04-12 16:51:17,20250412_165132_sarang_zone_log.csv,5
3,bouncy ball,2025-04-12 16:51:22,20250412_165132_sarang_zone_log.csv,5
4,Sponge ball,2025-04-12 16:51:24,20250412_165132_sarang_zone_log.csv,5
0,Fur ball,2025-04-12 16:51:50,20250412_165307_sarang_zone_log.csv,6
1,Sponge ball,2025-04-12 16:52:00,20250412_165307_sarang_zone_log.csv,6
2,BaseBall,2025-04-12 16:52:51,20250412_165307_sarang_zone_log.csv,6
3,bouncy ball,2025-04-12 16:53:01,20250412_165307_sarang_zone_log.csv,6
4,Steal ball,2025-04-12 16:53:04,20250412_165307_sarang_zone_log.csv,6
0,0,2025-04-12 16:53:32,20250412_165426_sarang_zone_log.csv,7
1,30,2025-04-12 16:53:40,20250412_165426_sarang_zone_log.csv,7
2,100,2025-04-12 16:54:00,20250412_165426_sarang_zone_log.csv,7
3,10,2025-04-12 16:54:19,20250412_165426_sarang_zone_log.csv,7
4,50,2025-04-12 16:54:23,20250412_165426_sarang_zone_log.csv,7
0,Fur ball,2025-04-12 16:54:49,20250412_165550_sarang_zone_log.csv,8
1,Sponge ball,2025-04-12 16:55:04,20250412_165550_sarang_zone_log.csv,8
2,bouncy ball,2025-04-12 16:55:28,20250412_165550_sarang_zone_log.csv,8
3,BaseBall,2025-04-12 16:55:44,20250412_165550_sarang_zone_log.csv,8
4,Steal ball,2025-04-12 16:55:46,20250412_165550_sarang_zone_log.csv,8
0,0,2025-04-12 16:56:16,20250412_165656_sarang_zone_log.csv,9
1,10,2025-04-12 16:56:23,20250412_165656_sarang_zone_log.csv,9
2,50,2025-04-12 16:56:48,20250412_165656_sarang_zone_log.csv,9
3,100,2025-04-12 16:56:50,20250412_165656_sarang_zone_log.csv,9
4,30,2025-04-12 16:56:53,20250412_165656_sarang_zone_log.csv,9
0,0,2025-04-12 16:57:42,20250412_165919_sarang_zone_log.csv,10
1,100,2025-04-12 16:59:03,20250412_165919_sarang_zone_log.csv,10
2,50,2025-04-12 16:59:05,20250412_165919_sarang_zone_log.csv,10
3,10,2025-04-12 16:59:14,20250412_165919_sarang_zone_log.csv,10
4,30,2025-04-12 16:59:16,20250412_165919_sarang_zone_log.csv,10
