zone,ObjectName,Timestamp,SourceFile,session
0,0,2025-04-10 22:26:07,20250410_222700_seongjun_zone_log.csv,1
2,30,2025-04-10 22:26:33,20250410_222700_seongjun_zone_log.csv,1
1,10,2025-04-10 22:26:37,20250410_222700_seongjun_zone_log.csv,1
4,100,2025-04-10 22:26:48,20250410_222700_seongjun_zone_log.csv,1
3,50,2025-04-10 22:26:55,20250410_222700_seongjun_zone_log.csv,1
0,Fur ball,2025-04-10 22:27:17,20250410_222814_seongjun_zone_log.csv,2
1,Sponge ball,2025-04-10 22:27:23,20250410_222814_seongjun_zone_log.csv,2
2,bouncy ball,2025-04-10 22:27:50,20250410_222814_seongjun_zone_log.csv,2
4,Steal ball,2025-04-10 22:28:06,20250410_222814_seongjun_zone_log.csv,2
3,BaseBall,2025-04-10 22:28:10,20250410_222814_seongjun_zone_log.csv,2
2,30,2025-04-10 22:28:21,20250410_222848_seongjun_zone_log.csv,3
1,10,2025-04-10 22:28:28,20250410_222848_seongjun_zone_log.csv,3
0,0,2025-04-10 22:28:30,20250410_222848_seongjun_zone_log.csv,3
3,50,2025-04-10 22:28:40,20250410_222848_seongjun_zone_log.csv,3
4,100,2025-04-10 22:28:43,20250410_222848_seongjun_zone_log.csv,3
0,0,2025-04-10 22:28:53,20250410_222944_seongjun_zone_log.csv,4
4,100,2025-04-10 22:29:09,20250410_222944_seongjun_zone_log.csv,4
3,50,2025-04-10 22:29:12,20250410_222944_seongjun_zone_log.csv,4
1,10,2025-04-10 22:29:36,20250410_222944_seongjun_zone_log.csv,4
2,30,2025-04-10 22:29:38,20250410_222944_seongjun_zone_log.csv,4
1,Sponge ball,2025-04-10 22:30:05,20250410_223045_seongjun_zone_log.csv,5
0,Fur ball,2025-04-10 22:30:08,20250410_223045_seongjun_zone_log.csv,5
2,bouncy ball,2025-04-10 22:30:11,20250410_223045_seongjun_zone_log.csv,5
3,Steal ball,2025-04-10 22:30:30,20250410_223045_seongjun_zone_log.csv,5
4,BaseBall,2025-04-10 22:30:38,20250410_223045_seongjun_zone_log.csv,5
0,Fur ball,2025-04-10 22:30:57,20250410_223152_seongjun_zone_log.csv,6
1,Sponge ball,2025-04-10 22:31:00,20250410_223152_seongjun_zone_log.csv,6
2,bouncy ball,2025-04-10 22:31:02,20250410_223152_seongjun_zone_log.csv,6
3,BaseBall,2025-04-10 22:31:38,20250410_223152_seongjun_zone_log.csv,6
4,Steal ball,2025-04-10 22:31:49,20250410_223152_seongjun_zone_log.csv,6
0,0,2025-04-10 22:32:10,20250410_223245_seongjun_zone_log.csv,7
1,10,2025-04-10 22:32:23,20250410_223245_seongjun_zone_log.csv,7
2,30,2025-04-10 22:32:27,20250410_223245_seongjun_zone_log.csv,7
3,50,2025-04-10 22:32:33,20250410_223245_seongjun_zone_log.csv,7
4,100,2025-04-10 22:32:40,20250410_223245_seongjun_zone_log.csv,7
1,Sponge ball,2025-04-10 22:32:49,20250410_223306_seongjun_zone_log.csv,8
0,Fur ball,2025-04-10 22:32:52,20250410_223306_seongjun_zone_log.csv,8
2,bouncy ball,2025-04-10 22:32:54,20250410_223306_seongjun_zone_log.csv,8
3,BaseBall,2025-04-10 22:32:58,20250410_223306_seongjun_zone_log.csv,8
4,Steal ball,2025-04-10 22:33:01,20250410_223306_seongjun_zone_log.csv,8
2,30,2025-04-10 22:33:34,20250410_223415_seongjun_zone_log.csv,9
1,10,2025-04-10 22:33:36,20250410_223415_seongjun_zone_log.csv,9
0,0,2025-04-10 22:33:45,20250410_223415_seongjun_zone_log.csv,9
3,50,2025-04-10 22:34:09,20250410_223415_seongjun_zone_log.csv,9
4,100,2025-04-10 22:34:11,20250410_223415_seongjun_zone_log.csv,9
0,Fur ball,2025-04-10 22:34:30,20250410_223448_seongjun_zone_log.csv,10
1,Sponge ball,2025-04-10 22:34:33,20250410_223448_seongjun_zone_log.csv,10
3,BaseBall,2025-04-10 22:34:36,20250410_223448_seongjun_zone_log.csv,10
4,Steal ball,2025-04-10 22:34:39,20250410_223448_seongjun_zone_log.csv,10
2,bouncy ball,2025-04-10 22:34:42,20250410_223448_seongjun_zone_log.csv,10
