zone,ObjectName,Timestamp,SourceFile,session
0,Fur ball,2025-04-17 17:08:34,20250417_170907_suhan_zone_log.csv,1
1,bouncy ball,2025-04-17 17:08:47,20250417_170907_suhan_zone_log.csv,1
4,Steal ball,2025-04-17 17:08:50,20250417_170907_suhan_zone_log.csv,1
2,Sponge ball,2025-04-17 17:08:56,20250417_170907_suhan_zone_log.csv,1
3,BaseBall,2025-04-17 17:08:58,20250417_170907_suhan_zone_log.csv,1
0,Fur ball,2025-04-17 17:09:23,20250417_170955_suhan_zone_log.csv,2
1,Sponge ball,2025-04-17 17:09:35,20250417_170955_suhan_zone_log.csv,2
2,BaseBall,2025-04-17 17:09:41,20250417_170955_suhan_zone_log.csv,2
3,bouncy ball,2025-04-17 17:09:47,20250417_170955_suhan_zone_log.csv,2
4,Steal ball,2025-04-17 17:09:50,20250417_170955_suhan_zone_log.csv,2
0,0,2025-04-17 17:10:11,20250417_171227_suhan_zone_log.csv,3
1,10,2025-04-17 17:10:15,20250417_171227_suhan_zone_log.csv,3
2,100,2025-04-17 17:12:13,20250417_171227_suhan_zone_log.csv,3
3,50,2025-04-17 17:12:17,20250417_171227_suhan_zone_log.csv,3
4,30,2025-04-17 17:12:21,20250417_171227_suhan_zone_log.csv,3
0,0,2025-04-17 17:12:55,20250417_171327_suhan_zone_log.csv,4
1,10,2025-04-17 17:12:57,20250417_171327_suhan_zone_log.csv,4
2,30,2025-04-17 17:13:08,20250417_171327_suhan_zone_log.csv,4
3,50,2025-04-17 17:13:12,20250417_171327_suhan_zone_log.csv,4
4,100,2025-04-17 17:13:20,20250417_171327_suhan_zone_log.csv,4
0,0,2025-04-17 17:13:46,20250417_171437_suhan_zone_log.csv,5
1,10,2025-04-17 17:14:04,20250417_171437_suhan_zone_log.csv,5
2,50,2025-04-17 17:14:27,20250417_171437_suhan_zone_log.csv,5
3,100,2025-04-17 17:14:30,20250417_171437_suhan_zone_log.csv,5
4,30,2025-04-17 17:14:33,20250417_171437_suhan_zone_log.csv,5
0,0,2025-04-17 17:15:11,20250417_171602_suhan_zone_log.csv,6
4,10,2025-04-17 17:15:38,20250417_171602_suhan_zone_log.csv,6
1,50,2025-04-17 17:15:46,20250417_171602_suhan_zone_log.csv,6
3,30,2025-04-17 17:15:51,20250417_171602_suhan_zone_log.csv,6
2,100,2025-04-17 17:15:58,20250417_171602_suhan_zone_log.csv,6
0,Fur ball,2025-04-17 17:16:26,20250417_171647_suhan_zone_log.csv,7
1,Sponge ball,2025-04-17 17:16:33,20250417_171647_suhan_zone_log.csv,7
2,BaseBall,2025-04-17 17:16:37,20250417_171647_suhan_zone_log.csv,7
3,bouncy ball,2025-04-17 17:16:40,20250417_171647_suhan_zone_log.csv,7
4,Steal ball,2025-04-17 17:16:43,20250417_171647_suhan_zone_log.csv,7
0,Fur ball,2025-04-17 17:17:04,20250417_171733_suhan_zone_log.csv,8
4,BaseBall,2025-04-17 17:17:12,20250417_171733_suhan_zone_log.csv,8
3,Steal ball,2025-04-17 17:17:16,20250417_171733_suhan_zone_log.csv,8
1,Sponge ball,2025-04-17 17:17:25,20250417_171733_suhan_zone_log.csv,8
2,bouncy ball,2025-04-17 17:17:29,20250417_171733_suhan_zone_log.csv,8
0,Fur ball,2025-04-17 17:17:56,20250417_171853_suhan_zone_log.csv,9
4,BaseBall,2025-04-17 17:18:20,20250417_171853_suhan_zone_log.csv,9
1,Steal ball,2025-04-17 17:18:35,20250417_171853_suhan_zone_log.csv,9
3,bouncy ball,2025-04-17 17:18:44,20250417_171853_suhan_zone_log.csv,9
2,Sponge ball,2025-04-17 17:18:48,20250417_171853_suhan_zone_log.csv,9
0,0,2025-04-17 17:19:16,20250417_172022_suhan_zone_log.csv,10
2,10,2025-04-17 17:19:25,20250417_172022_suhan_zone_log.csv,10
1,100,2025-04-17 17:19:52,20250417_172022_suhan_zone_log.csv,10
3,30,2025-04-17 17:20:13,20250417_172022_suhan_zone_log.csv,10
4,50,2025-04-17 17:20:16,20250417_172022_suhan_zone_log.csv,10
