zone,ObjectName,Timestamp,SourceFile,session
0,Fur ball,2025-03-26 14:16:11,20250326_141634_uiseong_zone_log.csv,1
1,Sponge ball,2025-03-26 14:16:16,20250326_141634_uiseong_zone_log.csv,1
4,Steal ball,2025-03-26 14:16:23,20250326_141634_uiseong_zone_log.csv,1
3,BaseBall,2025-03-26 14:16:25,20250326_141634_uiseong_zone_log.csv,1
2,bouncy ball,2025-03-26 14:16:28,20250326_141634_uiseong_zone_log.csv,1
2,bouncy ball,2025-03-26 14:16:42,20250326_141713_uiseong_zone_log.csv,2
3,BaseBall,2025-03-26 14:16:59,20250326_141713_uiseong_zone_log.csv,2
4,Steal ball,2025-03-26 14:17:03,20250326_141713_uiseong_zone_log.csv,2
0,Fur ball,2025-03-26 14:17:06,20250326_141713_uiseong_zone_log.csv,2
1,Sponge ball,2025-03-26 14:17:09,20250326_141713_uiseong_zone_log.csv,2
0,Fur ball,2025-03-26 14:17:30,20250326_141828_uiseong_zone_log.csv,3
1,Sponge ball,2025-03-26 14:17:49,20250326_141828_uiseong_zone_log.csv,3
2,bouncy ball,2025-03-26 14:17:56,20250326_141828_uiseong_zone_log.csv,3
3,BaseBall,2025-03-26 14:18:22,20250326_141828_uiseong_zone_log.csv,3
4,Steal ball,2025-03-26 14:18:24,20250326_141828_uiseong_zone_log.csv,3
0,0,2025-03-26 14:18:36,20250326_141904_uiseong_zone_log.csv,4
4,100,2025-03-26 14:18:39,20250326_141904_uiseong_zone_log.csv,4
3,50,2025-03-26 14:18:46,20250326_141904_uiseong_zone_log.csv,4
2,30,2025-03-26 14:18:55,20250326_141904_uiseong_zone_log.csv,4
1,10,2025-03-26 14:18:57,20250326_141904_uiseong_zone_log.csv,4
1,Sponge ball,2025-03-26 14:19:13,20250326_141934_uiseong_zone_log.csv,5
4,Steal ball,2025-03-26 14:19:16,20250326_141934_uiseong_zone_log.csv,5
3,BaseBall,2025-03-26 14:19:18,20250326_141934_uiseong_zone_log.csv,5
0,Fur ball,2025-03-26 14:19:22,20250326_141934_uiseong_zone_log.csv,5
2,bouncy ball,2025-03-26 14:19:29,20250326_141934_uiseong_zone_log.csv,5
1,10,2025-03-26 14:19:51,20250326_142035_uiseong_zone_log.csv,6
0,0,2025-03-26 14:20:02,20250326_142035_uiseong_zone_log.csv,6
2,30,2025-03-26 14:20:06,20250326_142035_uiseong_zone_log.csv,6
3,50,2025-03-26 14:20:21,20250326_142035_uiseong_zone_log.csv,6
4,100,2025-03-26 14:20:29,20250326_142035_uiseong_zone_log.csv,6
0,0,2025-03-26 14:21:04,20250326_142137_uiseong_zone_log.csv,7
1,10,2025-03-26 14:21:13,20250326_142137_uiseong_zone_log.csv,7
3,50,2025-03-26 14:21:24,20250326_142137_uiseong_zone_log.csv,7
2,30,2025-03-26 14:21:27,20250326_142137_uiseong_zone_log.csv,7
4,100,2025-03-26 14:21:33,20250326_142137_uiseong_zone_log.csv,7
0,0,2025-03-26 14:21:48,20250326_142202_uiseong_zone_log.csv,8
1,10,2025-03-26 14:21:51,20250326_142202_uiseong_zone_log.csv,8
3,50,2025-03-26 14:21:54,20250326_142202_uiseong_zone_log.csv,8
2,30,2025-03-26 14:21:56,20250326_142202_uiseong_zone_log.csv,8
4,100,2025-03-26 14:21:58,20250326_142202_uiseong_zone_log.csv,8
1,Sponge ball,2025-03-26 14:22:07,20250326_142226_uiseong_zone_log.csv,9
0,Fur ball,2025-03-26 14:22:09,20250326_142226_uiseong_zone_log.csv,9
3,BaseBall,2025-03-26 14:22:11,20250326_142226_uiseong_zone_log.csv,9
4,Steal ball,2025-03-26 14:22:19,20250326_142226_uiseong_zone_log.csv,9
2,bouncy ball,2025-03-26 14:22:22,20250326_142226_uiseong_zone_log.csv,9
1,10,2025-03-26 14:22:32,20250326_142246_uiseong_zone_log.csv,10
3,50,2025-03-26 14:22:34,20250326_142246_uiseong_zone_log.csv,10
0,0,2025-03-26 14:22:37,20250326_142246_uiseong_zone_log.csv,10
2,30,2025-03-26 14:22:40,20250326_142246_uiseong_zone_log.csv,10
4,100,2025-03-26 14:22:42,20250326_142246_uiseong_zone_log.csv,10
